,Imagem,Nome,Tipo,Nível,Descrição,Dano,Chance de Acerto Crítico,Estatísticas,Preço de venda
0,,Bastão do Alex,Clava,1.0,Seu ponto mais forte possui um entalhe por causa do Grand Slam do Alex.,1-3,0.02,Peso  (+5),50 ouros
1,,Guitarra antiga do Sam,Clava,1.0,Já viu dias melhores.,1-3,0.02,Velocidade  (+1)  Peso  (+5),50 ouros
2,,Martelo do Harvey,Clava,3.0,Faz você se lembrar da clínica do Harvey.,1-3,0.02,Velocidade  (+158)  Peso  (+5),150 ouros
3,,Chave a Maru,Clava,3.0,Uma chave grande de metal. Está com o cheiro da Maru.,1-3,0.02,Velocidade  (+158)  Peso  (+5),150 ouros
4,,Fritadeira da Penny,Clava,3.0,A fritadeira favorita da Penny. Tem algo emborrachado preso à parte de dentro.,1-3,0.02,Velocidade  (+158)  Peso  (+5),150 ouros
5,,Maça perdida do Sebastian,Clava,3.0,Uma das réplicas medievais do Sebastian.,1-3,0.02,Velocidade  (+158)  Peso  (+5),150 ouros
6,,Ferro de passar da Haley,Espada,3.0,Muito quente. Está com cheiro de cabelo da Haley.,1-3,0.02,Velocidade  (+154),150 ouros
7,,Prancheta da Abby,Adaga,4.0,É feita de mármore fina.,1-3,0.02,Velocidade  (+154)  Chance Crítica  (+1)  Peso  (+5),200 ouros
8,,Lápis do Elliott,Adaga,4.0,Elliott utilizava isto para escrever seu livro. Está apontado!,1-3,0.02,Velocidade  (+154)  Chance Crítica  (+1)  Peso  (+5),200 ouros
9,,Cinzel da Leah,Adaga,4.0,A ferramenta favorita da Leah para esculpir madeira.,1-3,0.02,Velocidade  (+154)  Chance Crítica  (+1)  Peso  (+5),200 ouros
10,,Espada sagrada,Espada,4.0,Dá esperança ao segurar.,18-24,0.02,Peso  (+3),200 ouros
11,,Florete,Espada,4.0,Uma arma elegante.,15-25,0.02,Velocidade  (+2),200 ouros
12,,Estilingue da galáxia,Estilingue,,Parece muito poderoso.,≈4x mais que um estilingue normal  usando a mesma munição,0.02,,
