,Imagem,Nome,Descrição,Preço,Local
0,,Pergaminho dos anões,Um pergaminho amarelado escrito na linguagem dos anões. Este aqui possui um laço vermelho.,1 ouro,Nível da Mina 1-20  Slime Verde (Floresta Secreta)
1,,Pergaminho dos anões II,Um pergaminho amarelado escrito na linguagem dos anões. Este aqui possui um laço verde.,1 ouro,Morcego de Gelo (Nível da Mina 40-65)  Espirito da Terra (Nível da Mina 40-79)  Slime Azul (Floresta Secreta ou Minas)
2,,Pergaminho dos anões III,Um pergaminho amarelado escrito na linguagem dos anões. Este aqui está enrolado em um laço azul.,1 ouro,Nível da Mina 40+  Morcego de Gelo (Nível da Mina 40-65)  Morcego de Fogo (Nível da Mina 81+)  Slime Azul (Floresta Secreta ou Minas)  Caverna da Caveira
3,,Pergaminho dos anões IV,Um pergaminho amarelado escrito na linguagem dos anões. Este aqui está enrolado com um laço dourado.,1 ouro,Qualquer Monstro (Minas)  Usando uma enxada no solo (Nível da Mina 81+)  Larva Mutante (Toca do Inseto Mutante)
4,,Ânfora quebrada,Um vaso antigo feito de cerâmica. Utilizado para transportar bens secos e molhados.,40 ouros,Cidade (4%)
5,,Ponta de flecha,Uma ponta de flecha bruta utilizada para caça.,40 ouros,Montanha (2%)  Floresta (2%)  Ponto de Ônibus (2%)
6,,Boneco antigo,"Um boneco antigo coberto de sujeira. Este boneco pode ter sido usado como brinquedo, decoração, ou escora em algum ritual.",60 ouros,Montanha (4%)  Floresta (3%)  Ponto de Ônibus (3%)  Cidade (1%)  Baú de Pescaria  Minas (?%)  Festival da Estrela Invernal
7,,Joias Élficas,"Sujas, mas ainda assim lindas. Do lado, há um manuscrito cursivo que alguns acham ser a língua dos elfos. Nenhum resto mortal élfico foi encontrado.",200 ouros,Floresta (1%)  Baú de Pescaria
8,,Palha para mastigar,Os antigos mastigavam-nas para manter seus dentes limpos.,50 ouros,Montanha (2%)  Floresta (2%)  Cidade (1%)  Baú de Pescaria
9,,Leque ornamental,Este lindo leque provavelmente pertencia a uma nobre. Os historiadores acreditam que o vale era um local popular na sexta era para os abastados.,300 ouros,Praia (2%)  Floresta (1%)  Cidade (0.8%)  Baú de Pescaria
10,,Ovo de dinossauro,Um ovo de dinossauro gigante... O casco inteiro ainda está intacto!,350 ouros,Montanha (0.8%)  Baú de Pescaria
11,,Disco raro,"Um disco pesado e negro com pedras vermelhas e peculiares. Ao segurá-lo, você se enche com um sentimento de pavor.",300 ouros,"Morcegos  ,  Bruto das sombras  , ou  Xamã das sombras  Baú de Pescaria"
12,,Espada antiga,"São os restos de uma espada antiga. A maior parte da lâmina enferrujou, mas o punho é muito bem desenhado.",100 ouros,Floresta (1%)  Montanha (0.8%)  Baú de Pescaria
13,,Colher enferrujada,Uma colher comum que provavelmente tem mais de dez anos. Não é muito interessante.,25 ouros,Cidade (5%)  Baú de Pescaria  Minas (Solo)
14,,Esporão enferrujado,Um esporão velho que ficava preso às botas de um vaqueiro. As pessoas devem criar animais nesta área há gerações.,25 ouros,Baú de Pesca  Fazenda (?%)
15,,Engrenagem velha,Uma engrenagem bem-preservada que deve ter sido parte de uma máquina antiga. Pode ser tecnologia dos anões.,25 ouros,"Montanha (5%)  Mina ~14-25 em locais de terra  Baú de Pesca (0,16%-0,18%)"
16,,Estátua de galinha,É uma estátua de galinha com base de bronze. Os antigos moradores deste lugar deviam adorar galinhas.,50 ouros,"Baú de pesca (0,16%-0,18%)  Floresta (?%)  Fazenda (?%)"
17,,Semente antiga,É uma velha semente ressecada de uma planta antiga. Aparenta ter morrido há muito tempo atrás...,5 ouros,"Floresta (1%)  Montanha (1%)  Baú de Pesca  Drop de monstros (  Insetos  ,  Larvas  ,  Moscas  : 0,5%)"
18,,Ferramenta pré-histórica,Uma ferramenta antiga e meio torta.,50 ouros,Parada de Ônibus (4%)  Montanha (3%)  Floresta (3%)  Baú de pesca
19,,Estrela-do-mar ressecada,Uma estrela-do-mar do oceano primordial. Parece estar incrivelmente bem conservada!,40 ouros,Praia (10%)  Baú de Pesca
20,,Âncora,Deve ter pertencido aos piratas de antigamente.,100 ouros,Praia (5%)  Baú de Pesca (Desconhecido)
21,,Cacos de vidro,Uma mistura de cacos de vidro arredondados por séculos de ondas do mar. Podem ter pertencido a um mosaico ou colar.,20 ouros,Praia (10%)  Baú de Pesca
22,,Flauta de ossos,Instrumento pré-histórico feito dos ossos de um animal. Sua música dá medo.,100 ouros,Montanha (1%)  Floresta (1%)  Cidade (0.5%)  Baú de Pesca
23,,Biface pré-histórico,"Uma das mais antigas ferramentas utilizadas por seres humanos. Esta ferramenta ""primitiva"" foi criada ao bater uma pedra com outra para gerar uma lâmina afinada.",50 ouros,Montanha (5%)  Floresta (5%)  Parada de Ônibus (5%)
24,,Elmo anão,Um dos elmos comumente utilizado por anões. A armadura de metal espessa protege dos detritos que caem das estalactites.,100 ouros,Mina (1%)  Omnigeodo  (1.2%)
25,,Dispositivo de anão,"Tecnologia avançada conhecida pelos anões há muito tempo. Ainda está brilhando e assobiando, você é incapaz de entender como funciona.",200 ouros,Mina (0.1%)  Omnigeodo  (1.2%)
26,,Tambor antigo,É um tambor feito de madeira e pele animal. Posso uma reverberação lenta e baixa.,100 ouros,Parada de Ônibus (1%)  Floresta (1%)  Cidade (0.5%)  Omnigeodo  (1.2%)
27,,Máscara dourada,Uma máscara dourada e assustadora utilizada em um ritual antigo de mágica. Um buraco na testa com contém uma joia grande e roxa.,500 ouros,Deserto (4%)
28,,Relíquia dourada,Uma placa dourada com hieroglifos e figuras gravadas na frente.,250 ouros,Deserto (8%)
29,,Boneco estranho,???,1 000 ouros,Todo Local (0.1%)  Caverna da caveira (Escavando/explodindo a terra)  Minas (Usando enxada na terra)  Baú de Pesca  Recado Secreto #17
30,,Boneco estranho,???,1 000 ouros,Todo Local (0.1%)  Caverna da caveira (Cavando/explodindo a terra)  Minas (Usando enxada na terra)  Baú de Pesca  Recado Secreto #18
