,Imagem,Nome,Descrição,Ingredientes,Fonte da Receita
0,,Piso de madeira,Ponha no chão para criar caminhos ou decorá-lo.,Madeira  (1),Carpintaria  por  100 ouros
1,,Piso Rústico de Tábuas,Coloque no chão para criar caminhos ou para decorá-los.,Madeira  (1),Carpintaria  por  200 ouros
2,,Piso de palha,Ponha no chão para criar caminhos ou incrementá-lo.,Madeira  (1)  Fibra  (1),Carpintaria  por  200 ouros
3,,Piso desgastado,Ponha no chão para criar caminhos ou incrementá-lo.,Madeira  (1),Anão  (  500 ouros  )
4,,Piso de cristal  (5),Ponha no chão para criar caminhos ou incrementá-lo.,Quartzo refinado  (1),Krobus  (  500 ouros  )
5,,Piso de pedra,Ponha no chão para criar caminhos ou incrementá-lo.,Pedra  (1),Carpintaria  por  100 ouros
6,,Piso Passarela de Pedra,Coloque no chão para criar caminhos ou para decorá-los.,Pedra  (1),Carpintaria  por  200 ouros
7,,Piso de tijolo  (5),Ponha no chão para criar caminhos ou decorá-lo.,Argila  (2)  Pedra  (5),Carpintaria  por  500 ouros
8,,Caminho de madeira,Ponha no chão para criar caminhos ou incrementá-lo.,Madeira  (1),Início
9,,Caminho de cascalho,Ponha no chão para criar caminhos ou incrementá-lo.,Pedra  (1),Início
10,,Caminho de pedra arredondada,Ponha no chão para criar caminhos ou incrementá-lo.,Pedra  (1),Início
11,,Caminho de Pedras Polidas,Ponha no chão para criar caminhos e incrementá-lo.,Pedra  (1),Carpintaria  por  100 ouros
12,,Caminho de cristal  (5),Ponha no chão para criar caminhos ou incrementá-lo.,Quartzo refinado  (1),Carpintaria  por  200 ouros
