,Imagem,Nome,Descrição,Ingredientes,Fonte da Receita
0,,Máquina de maionese,Transforma ovos em maionese.,Madeira  (15)  Pedra  (15)  Cristal de terra  (1)  Barra de cobre  (1),Cultivo  nível 2
1,,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,Madeira  (40)  Carvão  (8)  Barra de ferro  (1)  Xarope de ácer  (1),Cultivo  nível 3
2,,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Madeira  (50)  Pedra  (40)  Carvão  (8),Cultivo  nível 4
3,,Prensa de queijo,Transforma leite em queijo.,Madeira  (45)  Pedra  (45)  Madeira de lei  (10)  Barra de cobre  (1),Cultivo  nível 6
4,,Tear,Transforma lã crua em roupas finas.,Madeira  (60)  Fibra  (30)  Alcatrão de pinho  (1),Cultivo  nível 7
5,,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Madeira  (30)  Barra de cobre  (1)  Barra de ferro  (1)  Resina de carvalho  (1),Cultivo  nível 8
6,,Gerador de óleo,Faz óleo gourmet de trufas.,Gosma  (50)  Madeira de lei  (20)  Barra de ouro  (1),Cultivo  nível 8
7,,Barril de madeira,Utilizado na adega para envelhecer produtos como queijo e vinho.,Madeira  (20)  Madeira de lei  (1),Atualização de porão para a  Casa da Fazenda
8,,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",Madeira de lei  (10)  Geléia do Mar  (1)  Geléia do Rio  (1)  Geléia da Caverna  (1),Peixaria  por  10 000 ouros
9,,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,Madeira  (30)  Argila  (2)  Quartzo de fogo  (1),Armazém do Pierre  por  10 000 ouros
