,Imagem,Nome,Descrição,Ingredientes,Fonte da Receita
0,,Fertilizante básico,"Melhora a qualidade do fertilizante um pouco, aumentando sua chance de criar plantações de qualidade. Misture no fertilizante arado.",Seiva  (2),Cultivo  nível 1
1,,Fertilizante de qualidade,"Melhora a qualidade do fertilizante, aumentando sua chance de plantar colheitas de qualidade. Misture no fertilizante arado.",Seiva  (2)  Qualquer peixe  (1),Cultivo  nível 9
2,,Fertilizante Premium  (5),"Aumenta muito a qualidade do solo, aumentando sua chance de crescer plantas de qualidade. Misture no solo arado.",Barra de irídio  (1)  Seiva  (40),Sala de Nozes do Sr. Qi  por  20
3,,Solo Foliar  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 10%. Misture no fertilizante arado.,Alcatrão de pinho  (1)  Concha  (1),Cultivo  nível 3
4,,Solo Foliar Premium  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 25%. Misture no fertilizante arado.,Resina de carvalho  (1)  Coral  (1),Cultivo  nível 8
5,,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,Minério Radioativo  (1)  Fragmento de Osso  (3)  Essência solar  (1),Sala de Nozes do Sr. Qi  por  30
6,,Solo retentor,Possui uma chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Pedra  (2),Cultivo  nível 4
7,,Solo retentor de qualidade  (2),Possui boa chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Pedra  (3)  Argila  (1),Cultivo  nível 7
8,,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,Pedra  (5)  Fibra  (3)  Argila  (1),Comerciante da Ilha  por  Fragmento de Brasa  (50)
9,,Fertilizante de Árvore,"Use em um árvore para ter um crescimento rápido, até no inverno. Não funciona com árvores de frutos.",Fibra  (5)  Pedra  (5),Coleta  Nível 7
