,Imagem,Nome,Descrição,Ingredientes,Fonte da Receita
0,,Anzol,Sua forma a faz girar na água. Aumenta levemente as chances de pegar um peixe.,Barra de ferro  (2),Pesca  nível 6
1,,Boia-armadilha,Faz com que os peixes escapem mais lentamente quando você não está içando a vara.,Barra de cobre  (1)  Seiva  (10),Pesca  nível 6
2,,Boia de cortiça,"Aumenta levemente o tamanho da sua ""barra de pesca"".",Madeira  (10)  Madeira de lei  (5)  Gosma  (10),Pesca  nível 7
3,,Boia de Qualidade,Aumenta a qualidade dos peixes que você pesca.,Barra de cobre  (1)  Seiva  (20)  Essência solar  (5),Willy  (  Pedido Especial  )
4,,Caça ao tesouro,Peixes não escapam ao coletar tesouros. Também aumenta levemente as chances de encontrar um tesouro.,Barra de ouro  (2),Pesca  nível 7
5,,Isca artificial,A aba de metal e a os feixes coloridos criam uma tentação fatal para os peixes. Aumenta a chance de mordida ao pescar.,Barra de ferro  (2)  Tecido  (1),Pesca  nível 8
6,,Anzol farpado,"Prende sua pesca melhor, fazendo com que a ""barra de pesca"" fique presa a ela. Funciona melhor em peixes lentos e fracos.",Barra de cobre  (1)  Barra de ferro  (1)  Barra de ouro  (1),Pesca  nível 8
7,,Ímã,"Aumenta as chances de achar tesouros ao pescar. Entretanto, os peixes não gostam muito do sabor.",Barra de ferro  (1),Pesca  nível 9
8,,Isca  (5),Faz o peixe morder mais rápido. Deve ser colocado em uma vara de pescar.,Carne de inseto  (1),Pesca  nível 2
9,,Isca selvagem  (5),Uma receita especial do Linus. Atraente para todos os peixes.,Fibra  (10)  Carne de inseto  (5)  Gosma  (5),Evento de 4 corações do  Linus
10,,Isca Mágica  (5),"Permite que você pegue peixes de qualquer estação, tempo ou clima a partir de qualquer corpo d'água.",Minério Radioativo  (1)  Carne de inseto  (3),Sala de Nozes do Sr. Qi  por  20
11,,Covo,"Ponha na água, com uma isca, e dê uma olhada no dia seguinte para ver se você pescou algo. Funciona em correntes, lagos, e no oceano.",Madeira  (40)  Barra de ferro  (3)  Com a profissão  Armadilheiro  :  Madeira  (25)  Barra de cobre  (2),Pesca  nível 3
