,Imagem,Nome,Descrição,Estatísticas,Localização,Preço de Compra,Preço de Venda
0,,Tênis,Um pouco frágeis... mas na moda!,Defesa  (+1),Guilda dos Aventureiros  As Minas  (andares 1-39)  Baús de Tesouro de Pesca,500 ouros,50 ouros
1,,Botas de borracha,Proteção das intempéries.,Imunidade  (+1),As Minas  (andares 1-39)  Baús de Tesouro de Pesca,,50 ouros
2,,Botas de couro,O couro é muito maleável.,Defesa  (+1)  Imunidade  (+1),Baú no 10º andar das  Minas  Guilda dos Aventureiros  (depois de desbloquear o 10º andar das  Minas  )  Baús de Tesouro de Pesca,500 ouros,100 ouros
3,,Botas de trabalho,Com bicos de aço para proteção extra.,Defesa  (+2),Baús de Tesouro de Pesca  Baú no 10º andar das  Minas  (com recompensas aleatórias na mina apenas),,100 ouros
4,,Botas de combate,Reforçadas com malha de aço.,Defesa  (+3),Guilda dos Aventureiros  (depois de desbloquear o 40º andar das  Minas  )  As Minas  (andares 61-79)  Baús de Tesouro de Pesca  Baú no 50º andar das  Minas  (com recompensas aleatórias na mina apenas),1 250 ouros,150 ouros
5,,Botas de tundra,O tecido felpudo mantém seus calcanhares quentinhos.,Defesa  (+2)  Imunidade  (+1),Baú no 50º andar das  Minas  Guilda dos Aventureiros  (depois de desbloquear o 50º andar das  Minas  )  Baús de Tesouro de Pesca,750 ouros,150 ouros
6,,Sapatos de Duende,A fivela é feita de ouro puro.,Defesa  (+2)  Imunidade  (+1),Trens,,150 ouros
7,,Botas térmicas,Projetadas com temperaturas externas em mente.,Defesa  (+1)  Imunidade  (+2),As Minas  (andares 41-79)  Baús de Tesouro de Pesca  Baú no 50º andar das  Minas  (com recompensas aleatórias na mina apenas),,150 ouros
8,,Botas de vaqueiro,O ápice da moda no interior.,Defesa  (+2)  Imunidade  (+2),Impossível de obter,,200 ouros
9,,Botas negras,Feitas com couro negro e espesso.,Defesa  (+4)  Imunidade  (+2),Guilda dos Aventureiros  (depois de desbloquear o 80º andar das  Minas  )  As Minas  (andares 81+)  Caverna da Caveira  Baús de Tesouro de Pesca  Baú no 80º andar das  Minas  (com recompensas aleatórias na mina apenas),2 500 ouros,300 ouros
10,,Botas de Salamandra,Dizem que aguentam o magma mais quente.,Defesa  (+3)  Imunidade  (+3),Baú no 80º andar das  Minas  Guilda dos Aventureiros  (depois de desbloquear o 80º andar das  Minas  )  Baús de Tesouro de Pesca,2 000 ouros,300 ouros
11,,Sapatos de gênio,Uma energia curiosa permeia o tecido.,Defesa  (+1)  Imunidade  (+6),As Minas  (andares 81+)  Caverna da Caveira  Baús de Tesouro de Pesca,,350 ouros
12,,Botas Mágicas da Emily,Feitas com amor pela Emily. 100% compostable!,Defesa  (+4)  Imunidade  (+4),Presente da  Emily  durante seu evento de 14 corações.,,400 ouros
13,,Botas espaciais,Um tecido de irídio dá um acabamento púrpura.,Defesa  (+4)  Imunidade  (+4),Baú no 110º andar das  Minas  Guilda dos Aventureiros  (depois de desbloquear o 110º andar das  Minas  ),5 000 ouros,400 ouros
14,,Sapatos de Cristal,Estes sapatos brilhantes vão manter seus pés seguros.,Defesa  (+3)  Imunidade  (+5),Caverna da Caveira  Baú no 110º andar das  Minas  (com recompensas aleatórias na mina apenas),,400 ouros
15,,Sapatos de Palhaço da Brasa,Estes sapatos pertenceram a um famoso bobo da corte Anão.,Defesa  (+6)  Imunidade  (+5),Loja da Caverna do Vulcão,Fragmento  de Brasa  (100),550 ouros
16,,Botas de Sereia,Escamas de sereia dão a estas botas uma aura protetora.,Defesa  (+5)  Imunidade  (+8),Baús de tesouro raros na  Caverna do Vulcão,,650 ouros
17,,Botas de Escama de Dragão,Estas botas cintilantes são extremamente resistentes.,Defesa  (+7),Baús de tesouro raros na  Caverna do Vulcão,,350 ouros
