,Cultivo,Preço da Semente,Dias  para Crescer,Máximas Colheitas  por Estação,Vende por,Lucro/Dia
0,Amaranto,70 ouros,7 dias,3,150 ouros,"11,43 ouros"
1,Alcachofra,30 ouros,8 dias,3,160 ouros,"16,25 ouros"
2,Beterraba,Oásis  :  20 ouros,6 dias,4,100 ouros,"13,33 ouros"
3,Couve chinesa,50 ouros,4 dias,6,80 ouros,"7,5 ouros"
4,Rosa-de-fada,200 ouros,12 dias,2,290 ouros,"7,5 ouros"
5,Abóbora,100 ouros,13 dias,2,320 ouros,"16,92 ouros"
6,Girassol,200 ouros,8 dias,3,80 ouros,-15 ouros
7,Cereja de Joia Doce,Carrinho de Viagem  :  1 000 ouros,24 dias,1,3 000 ouros,"83,33 ouros"
8,Trigo,10 ouros,4 dias,6,25 ouros,"3,75 ouros"
9,Inhame,60 ouros,10 dias,2,160 ouros,10 ouros
