,Imagem,Nome,Descrição,Encontrado,Lucro,Efeito,Usado em
0,,Raiz-forte,Uma raiz picante encontrada na primavera.,Vila Pelicanos  Bosque Secreto,50 ouros  62 ouros  75 ouros  100 ouros,13  5  18  8  23  10  33  14,Sementes de primavera  Conjunto Recursos de Primavera  Krobus  (Presente Amado)
1,,50 ouros,,,,,
2,,62 ouros,,,,,
3,,75 ouros,,,,,
4,,100 ouros,,,,,
5,,13,,5,,,
6,,18,,8,,,
7,,23,,10,,,
8,,33,,14,,,
9,,Narciso,Uma tradicional flor da primavera. Dá um ótimo presente.,Vila Pelicanos,30 ouros  37 ouros  45 ouros  60 ouros,0  0  0  0  0  0  0  0,Sementes de primavera  Conjunto Recursos de Primavera  Sandy  (Presente Amado)
10,,30 ouros,,,,,
11,,37 ouros,,,,,
12,,45 ouros,,,,,
13,,60 ouros,,,,,
14,,0,,0,,,
15,,0,,0,,,
16,,0,,0,,,
17,,0,,0,,,
18,,Alho-poró,Um delicioso parente da cebola.,Vila Pelicanos,60 ouros  75 ouros  90 ouros  120 ouros,40  18  56  25  72  32  104  46,Salada  Sementes de primavera  Conjunto Recursos de Primavera  George  (Presente Amado)
19,,60 ouros,,,,,
20,,75 ouros,,,,,
21,,90 ouros,,,,,
22,,120 ouros,,,,,
23,,40,,18,,,
24,,56,,25,,,
25,,72,,32,,,
26,,104,,46,,,
27,,Dente-de-leão,"Não é a flor mais bonita, mas as folhas dão uma ótima salada.",Vila Pelicanos,40 ouros  50 ouros  60 ouros  80 ouros,25  11  35  15  45  20  65  29,Salada  Sementes de primavera  Conjunto Recursos de Primavera
28,,40 ouros,,,,,
29,,50 ouros,,,,,
30,,60 ouros,,,,,
31,,80 ouros,,,,,
32,,25,,11,,,
33,,35,,15,,,
34,,45,,20,,,
35,,65,,29,,,
36,,Cebolinha,Cresce muito durante a primavera.,Floresta Cinzaseiva  Vila Pelicanos,8 ouros  10 ouros  12 ouros  16 ouros,13  5  18  8  23  10  33  14,
37,,8 ouros,,,,,
38,,10 ouros,,,,,
39,,12 ouros,,,,,
40,,16 ouros,,,,,
41,,13,,5,,,
42,,18,,8,,,
43,,23,,10,,,
44,,33,,14,,,
45,,Morel,Cobiçado por seu sabor único e que lembra nozes.,Bosque Secreto,150 ouros  187 ouros  225 ouros  300 ouros,20  9  28  12  36  16  52  23,Cogumelo frito  Elixir da vida  Conjunto Recursos Exóticos
46,,150 ouros,,,,,
47,,187 ouros,,,,,
48,,225 ouros,,,,,
49,,300 ouros,,,,,
50,,20,,9,,,
51,,28,,12,,,
52,,36,,16,,,
53,,52,,23,,,
54,,Cogumelo comum,Com ligeiro sabor de nozes e boa textura.,Bosque Secreto,40 ouros  50 ouros  60 ouros  80 ouros,38  17  53  23  68  30  98  44,Cogumelo frito  Refogado  Sopa Tom Kha  Conjunto Recursos de Outono
55,,40 ouros,,,,,
56,,50 ouros,,,,,
57,,60 ouros,,,,,
58,,80 ouros,,,,,
59,,38,,17,,,
60,,53,,23,,,
61,,68,,30,,,
62,,98,,44,,,
63,,Amora-silvestre,Uma cereja de primavera com o sabor da floresta.,Nos arbustos durante  a estação da amora-silvestre  (  Primavera  15 - 18).,5 ouros  6 ouros  7 ouros  10 ouros,25  11  35  15  45  20  65  29,Geléia  Vinho
64,,5 ouros,,,,,
65,,6 ouros,,,,,
66,,7 ouros,,,,,
67,,10 ouros,,,,,
68,,25,,11,,,
69,,35,,15,,,
70,,45,,20,,,
71,,65,,29,,,
