,Cultivo,Preço da Semente,Dias para  Crescer,Máximo de Colheitas  por Estação,Preço de Venda,Ouro/Dia
0,Melão,80 ouros,12 dias,2,250 ouros,"≈  14,17 ouros"
1,Papoula,100 ouros,7 dias,3,140 ouros,"≈  5,71 ouros"
2,Rabanete,40 ouros,6 dias,4,90 ouros,"≈  8,33 ouros"
3,Repolho roxo,100 ouros,9 dias,3,260 ouros,"≈  17,78 ouros"
4,Carambola,Oásis  :  400 ouros,13 dias,2,750 ouros,"≈  26,92 ouros"
5,Flor-Miçanga,50 ouros,8 dias,3,90 ouros,5 ouros
6,Trigo,10 ouros,4 dias,Verão: 3,25 ouros,"3,75 ouros"
7,Trigo,10 ouros,4 dias,Verão e  Outono  : 13,25 ouros,"3,75 ouros"
8,Girassol,Armazém do Pierre  :  200 ouros,8 dias,Verão: 3,80 ouros,Comprado no Armazém do Pierre:  -15 ouros
9,Girassol,Mercado Joja  :  125 ouros,8 dias,Verão e  Outono  : 6,80 ouros,"Comprado no Mercado Joja: ≈  -5,62 ouros"
