,Image,Nome,Descrição,Preço,Pescador (+25%),Mestre Pescador (+50%),Local,Hora,Estação,Clima,Tamanho (cm),Comportamento,EXP Base,Usado em
0,,Baiacu,Infla quando ameaçado.,200 ouros  250 ouros  300 ouros  400 ouros,250 ouros  312 ouros  375 ouros  500 ouros,300 ouros  375 ouros  450 ouros  600 ouros,Oceano,12:00 - 16:00,Verão,Sol,3-94,80 flutuante,29.0,"Conjunto Peixes Especializados  Abigail  (presente amado)  Missão ""Pesquisa Aquática"""
1,,200 ouros,,,,,,,,,,,,
2,,250 ouros,,,,,,,,,,,,
3,,300 ouros,,,,,,,,,,,,
4,,400 ouros,,,,,,,,,,,,
5,,250 ouros,,,,,,,,,,,,
6,,312 ouros,,,,,,,,,,,,
7,,375 ouros,,,,,,,,,,,,
8,,500 ouros,,,,,,,,,,,,
9,,300 ouros,,,,,,,,,,,,
10,,375 ouros,,,,,,,,,,,,
11,,450 ouros,,,,,,,,,,,,
12,,600 ouros,,,,,,,,,,,,
13,,Atum,Um grande peixe que vive no oceano.,100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Oceano,6:00 - 19:00,Verão  Inverno,Qualquer,30-155,70 suave,26.0,Conjunto Peixes de Oceano  Taco de peixe
14,,100 ouros,,,,,,,,,,,,
15,,125 ouros,,,,,,,,,,,,
16,,150 ouros,,,,,,,,,,,,
17,,200 ouros,,,,,,,,,,,,
18,,125 ouros,,,,,,,,,,,,
19,,156 ouros,,,,,,,,,,,,
20,,187 ouros,,,,,,,,,,,,
21,,250 ouros,,,,,,,,,,,,
22,,150 ouros,,,,,,,,,,,,
23,,187 ouros,,,,,,,,,,,,
24,,225 ouros,,,,,,,,,,,,
25,,300 ouros,,,,,,,,,,,,
26,,Truta arco-íris,Um peixe de água doce com marcas coloridas.,65 ouros  81 ouros  97 ouros  130 ouros,81 ouros  101 ouros  121 ouros  162 ouros,97 ouros  121 ouros  145 ouros  195 ouros,Rio (Cidade+Floresta)  Lago da Montanha,6:00 - 19:00,Verão,Sol,25-66,45 misto,18.0,Sopa de truta
27,,65 ouros,,,,,,,,,,,,
28,,81 ouros,,,,,,,,,,,,
29,,97 ouros,,,,,,,,,,,,
30,,130 ouros,,,,,,,,,,,,
31,,81 ouros,,,,,,,,,,,,
32,,101 ouros,,,,,,,,,,,,
