,Imagem,Nome,Uso,Obtenção
0,,Guia de pigmeu,Desbloqueia a habilidade de falar com o  Anão  nas  Minas  e com o Anão no Vulcão.,Recompensa após doar 4 pergaminhos do Anão ao  Museu  .
1,,Chave Enferrujada,Usada para entrar no  Os Esgotos  .,Recebida do  Gunther  um dia depois de doar 60 itens ao  Museu  .
2,,Cartão do Clube,Usado para entrar no  Cassino  .,"Completando a missão  ""O Misterioso Qi""  ."
3,,Amuleto Especial,Permanentemente aumenta a  sorte  diária.,Do motorista do caminhão na frente do  Mercado Joja  (ou o  Cinema  ) depois de encontrar o recado secreto  Recado Secreto #20  depois de doar a ele um  Pé de coelho  .
4,,Chave de Caveira,Desbloqueia a porta para a  Caverna da Caveira  e desbloqueia o  JunimoKart  no  Saloon Fruta Estrelar  .,Do andar 120 das  Minas  .
5,,Lupa,Desbloqueia a habilidade de encontrar  Recados Secretos  .,"Depois de completar a missão  ""Um Mistério no Inverno""  ."
6,,Talismã das Trevas,Item de  Missão  .,Do baú no  Covil dos Insetos Mutantes  .
7,,Tinta mágica,Item de  Missão  .,Encontrado na mesa da [Cabana da Bruxa]].
8,,Conhecimento do Urso,Aumenta o preço de venda da  Amora  e  Amora-silvestre  por 3x.,Trazer  Xarope de ácer  no  Bosque Secreto  depois de achar o  Recado Secreto #23  .
9,,Domínio das Cebolinhas,Aumenta o preço de venda das  Cebolinhas  por 5x.,Depois de ativar o evento do  Vincent  /  Jas  ' de 8 corações.
10,,Chave da Vila,"Permite o acesso de todas as construções da Vila, a qualquer horário. (com algumas restrições).",Comprado da  Sala de Nozes do Sr. Qi  por  20  Gemas Qi  .
