,Imagem,Nome,Descrição,Também achado,Lucro,Recupera,Usado em,Chance
0,,Cogumelo comum,Com ligeiro sabor de nozes e boa textura.,"Coleta  (  Outono  )  Sementes de outono  Bosque Secreto  (  Outono  )  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )",40 ouros  50 ouros  60 ouros  80 ouros,38  17  53  23  68  30  98  44,Conjunto Recursos de Outono  Cogumelo frito  Sopa Tom Kha  Refogado  Sementes de outono,69.8%
1,,40 ouros,,,,,,
2,,50 ouros,,,,,,
3,,60 ouros,,,,,,
4,,80 ouros,,,,,,
5,,38,,17,,,,
6,,53,,23,,,,
7,,68,,30,,,,
8,,98,,44,,,,
9,,Cogumelo vermelho,Um cogumelo pintado geralmente achado em cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )",75 ouros  93 ouros  112 ouros  150 ouros,−50  0  −70  0  −90  0  −130  0,Conjunto Tinta  Conjunto Recursos Exóticos  Elixir da vida,12.3%
10,,75 ouros,,,,,,
11,,93 ouros,,,,,,
12,,112 ouros,,,,,,
13,,150 ouros,,,,,,
14,,−50,,0,,,,
15,,−70,,0,,,,
16,,−90,,0,,,,
17,,−130,,0,,,,
18,,Cogumelo roxo,Um cogumelo raro encontrado nas profundezas das cavernas.,"As Minas  Cortando a  Árvore de cogumelo  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )",250 ouros  312 ouros  375 ouros  500 ouros,125  56  175  78  225  101  325  146,Conjunto Recursos Exóticos  Conjunto Pesquisa de campo  Elixir da vida  Feiticeiro  (Presente Amado),2.5%
19,,250 ouros,,,,,,
20,,312 ouros,,,,,,
21,,375 ouros,,,,,,
22,,500 ouros,,,,,,
23,,125,,56,,,,
24,,175,,78,,,,
25,,225,,101,,,,
26,,325,,146,,,,
27,,Cantarelo,Um cogumelo delicioso com um cheiro de frutas e um sabor ligeiramente apimentado.,Bosque Secreto  (  Outono  ),160 ouros  200 ouros  240 ouros  320 ouros,75  33  105  47  135  60  195  87,Elixir da vida,7.3%
28,,160 ouros,,,,,,
29,,200 ouros,,,,,,
30,,240 ouros,,,,,,
31,,320 ouros,,,,,,
32,,75,,33,,,,
33,,105,,47,,,,
34,,135,,60,,,,
35,,195,,87,,,,
36,,Morel,Cobiçado por seu sabor único e que lembra nozes.,Bosque Secreto  (  Primavera  ),150 ouros  187 ouros  225 ouros  300 ouros,20  9  28  12  36  16  52  23,Cogumelo frito  Conjunto Recursos Exóticos  Elixir da vida,8.1%
37,,150 ouros,,,,,,
38,,187 ouros,,,,,,
39,,225 ouros,,,,,,
40,,300 ouros,,,,,,
41,,20,,9,,,,
42,,28,,12,,,,
43,,36,,16,,,,
44,,52,,23,,,,
