,Imagem,Nome,Descrição,Também achado,Renda,Recupera,Usado em,Chance
0,,Cereja,"É popular, e amadurece mais cedo que a maioria das frutas.",Muda de cerejeira  (  Primavera  ),80 ouros  100 ouros  120 ouros  160 ouros,38  17  53  23  68  30  98  44,Conjunto Artesão  Vinho  Geléia,3.6%
1,,80 ouros,,,,,,
2,,100 ouros,,,,,,
3,,120 ouros,,,,,,
4,,160 ouros,,,,,,
5,,38,,17,,,,
6,,53,,23,,,,
7,,68,,30,,,,
8,,98,,44,,,,
9,,Romã,Dentro do fruto há grupos de sementes suculentas.,Muda de romanzeira  (  Outono  ),140 ouros  175 ouros  210 ouros  280 ouros,38  17  53  23  68  30  98  44,Conjunto Artesão  Conjunto de Encantador  Vinho  Geléia  Elliott  (Presente Amado),3.6%
10,,140 ouros,,,,,,
11,,175 ouros,,,,,,
12,,210 ouros,,,,,,
13,,280 ouros,,,,,,
14,,38,,17,,,,
15,,53,,23,,,,
16,,68,,30,,,,
17,,98,,44,,,,
18,,Pêssego,Possui uma textura de veludo.,Muda de pessegueiro  (  Verão  ),140 ouros  175 ouros  210 ouros  280 ouros,38  17  53  23  68  30  98  44,Conjunto Artesão  Vinho  Geléia  Robin  (Presente Amado),3.6%
19,,140 ouros,,,,,,
20,,175 ouros,,,,,,
21,,210 ouros,,,,,,
22,,280 ouros,,,,,,
23,,38,,17,,,,
24,,53,,23,,,,
25,,68,,30,,,,
26,,98,,44,,,,
27,,Maçã,Fruta crocante utilizada para suco e sidra.,Muda de macieira  (  Outono  ),140 ouros  175 ouros  210 ouros  280 ouros,38  17  53  23  68  30  98  44,Conjunto Artesão  Vinho  Geléia  Doce de oxicoco  Conjunto Forragem,2%
28,,140 ouros,,,,,,
29,,175 ouros,,,,,,
30,,210 ouros,,,,,,
31,,280 ouros,,,,,,
32,,38,,17,,,,
33,,53,,23,,,,
34,,68,,30,,,,
35,,98,,44,,,,
36,,Laranja,"Suculenta, azedinha, e pulsando com um doce aroma de verão.",Muda de laranjeira  (  Verão  ),100 ouros  125 ouros  150 ouros  200 ouros,38  17  53  23  68  30  98  44,Conjunto Artesão  Vinho  Geléia  Gus  (Presente Amado),3.6%
37,,100 ouros,,,,,,
38,,125 ouros,,,,,,
39,,150 ouros,,,,,,
40,,200 ouros,,,,,,
41,,38,,17,,,,
42,,53,,23,,,,
43,,68,,30,,,,
44,,98,,44,,,,
45,,Café de jardim,Possui um cheiro bem forte.,Coleta  (  Verão  )  Sementes de verão,80 ouros  100 ouros  120 ouros  160 ouros,25  11  35  15  45  20  65  29,Conjunto Recursos de Verão  Sementes de verão  Vinho  Geléia,20%
46,,80 ouros,,,,,,
47,,100 ouros,,,,,,
48,,120 ouros,,,,,,
49,,160 ouros,,,,,,
50,,25,,11,,,,
51,,35,,15,,,,
52,,45,,20,,,,
53,,65,,29,,,,
54,,Damasco,Uma frutinha macia com uma semente muito dura.,Muda de damasqueiro  (  Primavera  ),50 ouros  62 ouros  75 ouros  100 ouros,38  17  53  23  68  30  98  44,Conjunto Artesão  Salada de frutas  Vinho  Geléia,3.6%
55,,50 ouros,,,,,,
56,,62 ouros,,,,,,
57,,75 ouros,,,,,,
58,,100 ouros,,,,,,
59,,38,,17,,,,
60,,53,,23,,,,
61,,68,,30,,,,
62,,98,,44,,,,
63,,Ameixa selvagem,"Ácida e suculenta, com um expressivo aroma.",Coleta  (  Outono  )  Sementes de outono,80 ouros  100 ouros  120 ouros  160 ouros,25  11  35  15  45  20  65  29,Conjunto Recursos de Outono  Sementes de outono  Pudim de ameixa  Vinho  Geléia,20%
64,,80 ouros,,,,,,
65,,100 ouros,,,,,,
66,,120 ouros,,,,,,
67,,160 ouros,,,,,,
68,,25,,11,,,,
69,,35,,15,,,,
70,,45,,20,,,,
71,,65,,29,,,,
72,,Amora,Uma delícia do começo do outono.,Coleta  (  Outono  )  Sementes de outono,20 ouros  25 ouros  30 ouros  40 ouros,25  11  35  15  45  20  65  29,Conjunto Recursos de Outono  Sementes de outono  Mexido de amoras  Vinho  Geléia,20%
73,,20 ouros,,,,,,
74,,25 ouros,,,,,,
75,,30 ouros,,,,,,
76,,40 ouros,,,,,,
77,,25,,11,,,,
78,,35,,15,,,,
79,,45,,20,,,,
80,,65,,29,,,,
81,,Amora-silvestre,Uma cereja de primavera com o sabor da floresta.,Coleta  (  Primavera  ),5 ouros  6 ouros  7 ouros  10 ouros,25  11  35  15  45  20  65  29,Vinho  Geléia,20%
82,,5 ouros,,,,,,
83,,6 ouros,,,,,,
84,,7 ouros,,,,,,
85,,10 ouros,,,,,,
86,,25,,11,,,,
87,,35,,15,,,,
88,,45,,20,,,,
89,,65,,29,,,,
