,Conjunto A Desaparecida,Conjunto A Desaparecida.1,Conjunto A Desaparecida.2,Conjunto A Desaparecida.3
0,,,,
1,,,Vinho  (Qualidade Prata),Barril de madeira
2,,,,Vinho  (Qualidade Prata)
3,,,Maionese de Dinossauro,Máquina de maionese
4,,,Fragmento prismático,Minas  e  Caverna da Caveira
5,,,Fruta antiga  (5) (Qualidade Ouro),Plantação
6,,,,Fruta antiga  (5) (Qualidade Ouro)
7,Salmão nulo  (Qualidade Ouro),Pescado  no  Pântano da bruxa,,
8,,Salmão nulo  (Qualidade Ouro),,
9,Caviar,Jarra de conserva,,
