,Conjunto Artesão,Conjunto Artesão.1,Conjunto Artesão.2,Conjunto Artesão.3
0,,,Óleo de trufas  (1),Feito a partir de  Trufas  usando um  Gerador de óleo
1,,,Tecido,"Tear  ,  Reciclando  um  Jornal ensopado"
2,,,Queijo de cabra,Prensa de queijo
3,,,Queijo,Prensa de queijo
4,,,Mel,Apiário
5,,,Geléia,Jarra de conserva
6,,,Maçã,"Obtida pelas  Macieiras  no  Outono  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)"
7,,,Damasco,"Obtidas pelos  Damasqueiros  na  Primavera  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)"
8,,,Laranja,"Obtida pelas  Laranjeiras  no  Verão  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)"
9,,,Pêssego,"Obtido pelos  Pessegueiros  no  Verão  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)"
10,,,Romã,"Obtida pelas  Romãzeiras  no  Outono  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)"
11,,,Cereja,"Obtido pelas  Cerejeiras  na  Primavera  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)"
12,Recompensa:,Recompensa:,Barril  (1),Barril  (1)
