,Conjunto Covo,Conjunto Covo.1,Conjunto Covo.2,Conjunto Covo.3
0,,,Lagosta,Pego em  Covos  .
1,,,Lagostim,Pego em  Covos  .
2,,,Caranguejo,"Pego em  Covos  , deixado por  Caranguejo-pedra  nas  Minas  ."
3,,,Berbigão,"Pego em  Covos  ,  colete  na  Praia  ."
4,,,Mexilhão,"Pego em  Covos  ,  colete  na  Praia  ."
5,,,Camarão,Pego em  Covos
6,,,Lesma,Pego em  Covos
7,,,Caramujo,Pego em  Covos
8,,,Ostra,"Pego em  Covos  ,  colete  na  Praia  ."
9,,,Concha,"Pego em  Covos  ,  colete  na  Praia  ."
10,Recompensa:,Recompensa:,Covo  (3),Covo  (3)
