,Ícone na Steam,Ícone no Jogo,Conquista,Descrição,Desbloqueia,Desbloqueia.1
0,,,Dedo verde,Ganhe  15 000 ouros  .,,Bom e velho chapéu
1,,,Vaqueiro,Ganhe  50 000 ouros  .,,Gravata da sorte
2,,,Autossuficiência,Ganhe  250 000 ouros  .,,Chapéu legal
3,,,Milionário,Ganhe  1 000 000 ouros  .,,Chapéu-coco
4,,,Lenda,Ganhe  10 000 000 ouros  . (Conquista Secreta),,Sombrero
5,,,Coleção Completa,Complete a coleção do  museu  .,,Chapéu de Caubói
6,,,Um novo amigo,Alcance  amizade  nível 5 com alguém.,,Gravata-borboleta
7,,,Melhores amigos,Alcance  amizade  nível 10 com alguém.,,Orelhas de rato
8,,,Amado Fazendeiro,Alcance  amizade  nível 10 com 8 pessoas.,,Orelhas de gato
9,,,Panelinha,Alcance  amizade  nível 5 com 4 pessoas.,,Tiara
10,,,Rede de contatos,Alcance  amizade  nível 5 com 10 pessoas.,,Gorro de papai noel
11,,,Popular,Alcance  amizade  nível 5 com 20 pessoas.,,Protetor de orelhas
12,,,Cozinheiro,Cozinhe  10 receitas diferentes.,,Lacinho delicado
13,,,Vice-chefe,Cozinhe  25 receitas diferentes.,,Chapéu Gourmet
14,,,Chefe gourmet,Cozinhe  todas as receitas.,,Chapéu de arqueiro
15,,,Chefe gourmet,Cozinhe  todas as receitas.,,Chapéu de Chefe de Cozinha
16,,,Subindo de vida,Atualize  sua casa.,,Tropiclipe
17,,,Grande vida,"Aumente  o tamanho de sua casa o máximo possível.  (2ª atualização, não o porão)",,Chapéu de caçador
18,,,Faça você mesmo,Crie  15 itens diferentes.,,Margarida
19,,,Artesão,Crie  30 itens diferentes.,,Chapéu de Caminhoneiro
20,,,Mestre do Artesanato,Crie  todos os itens.,,Chapéu de gnomo
21,,,Pescador,Pegue 10  peixes  diferentes.,,Chapéu Sudoeste
22,,,Velho marinheiro,Pegue 24  peixes  diferentes.,,Boina oficial
23,,,Velho pescador,Pegue todos os  peixes  .,,Tampão de olho
24,,,Deus pescador,Pegue 100  peixes  diferentes.,,Fita de melancia
25,,,Cova do tesouro,Doe 40 itens ao  museu  .,,Touca azul
26,,,Autônomo,Complete 10 missões  'Precisa-se de ajuda',,Gravata de bolinhas
27,,,Uma grande ajuda,Complete 40 missões  'Precisa-se de ajuda'  .,,Máscara de galinha
28,,,Policultura,Envie  15 itens de cada  lavoura  pelo correio.  [1],,Chapéu de Vaqueiro
29,,,Monocultura,Envie  300 itens de uma  lavoura  só pelo correio.  [1],,Chapéu de Vaqueira
30,,,Envio completo,Envie  um item de cada ao correio.,,Máscara de duende
31,,,Rei da Pradaria,Zere o arcade '  Jornada do Rei da Pradaria  '.,,Arcade do Rei da Pradaria
32,,,No Fundo,Alcance o nível mais profundo das  minas  .,,Chave de Caveira
33,,,Lenda Local,Restaure o  Centro Comunitário  da Vila Pelicanos.,,Troféu Vale do Orvalho
34,,,Joja Co. Membro do Ano,Torne-se um membro da Joja Co. e realize todas as  obras  para a comunidade.,,Máquina de refrigerante
35,,,Mistério das Frutas-estrela,Encontre todas as  Frutas-estrela  .,,
36,,,Casa Cheia,Case  e tenha dois filhos.,,
37,,,Talento Único,Alcance o nível 10 em alguma  habilidade  .,,
38,,,Mestre das Cinco Técnicas,Alcance o nível 10 em todas as  habilidades  .,,
39,,,Protetor do Vale,Complete todos as tarefas de matar monstros da  Guilda dos Aventureiros  .,,
40,,,Desafio do Fector,Vença '  Jornada do Rei da Pradaria  ' sem morrer. (Conquista Secreta),,
41,,,Uma Praia Distante,Chegue à  Ilha Gengibre  .,,Chapéu de Papel
42,,,Estudioso,Leia todos os  livros  .,,Boina de Entregador
43,,,Dois Joinhas,Assista a um  filme  .,,Chapéu de Bobo da Corte
44,,,Fita Azul,Consiga o primeiro lugar na competição da  Feira do Vale do Orvalho  .,,Fita Azul
45,,,Uma Sopa Inesquecível,Agrade o Governador  .,,Chapéu do Governador
46,,,Boa Vizinhança,Ajude seus  vizinhos da floresta  a aumentarem sua família.,,Laço Branco
47,,,Perigo nas Profundezas,Chegue até o fundo das  minas  'perigosas'.,,Capacete Espacial
48,,,Poder Infinito,Obtenha a  arma mais poderosa  .,,Coroa do Infinito
49,,,Perfeição,Alcance  o pico  .,,Chapéu de Junimo
