,Imagem,Nome,Quantidade necessária,Localização,Horário,Estação,Clima,Dificuldade,Necessário para
0,,Atum,1,Oceano,6:00 às 19:00,Verão  /  Inverno,Qualquer,70.0,Taco de peixe  (1)
1,,Sardinha,2,Oceano,6:00 às 19:00,Primavera  /  Outono  /  Inverno,Qualquer,30.0,Prato do mar  (2)
2,,Brema,1,Rio,18:00 às 2:00,Todas,Qualquer,35.0,Peixe cozido  (1)
3,,Achigã,1,Lago da Montanha,6:00 ás 19:00,Todas,Qualquer,50.0,Achigã Crocante  (1)
4,,Truta arco-íris,1,"Rio,  Lago da Montanha",6:00 às 19:00,Verão,Sol,45.0,Sopa de truta  (1)
5,,Salmão,1,Rio,6:00 às 19:00,Outono,Qualquer,50.0,Jantar de salmão  (1)
6,,Linguado,1,Oceano,6:00 às 20:00,Primavera  /  Verão,Qualquer,50.0,Pudim de espuma do mar  (1)
7,,Carpa da meia-noite,1,"Lago da Montanha  ,  Lagoa da Floresta",22:00 às 2:00,Outono  /  Inverno,Qualquer,55.0,Pudim de espuma do mar  (1)
8,,Carpa,4,"Lago da Montanha  ,  Lagoa da Floresta  ,  Esgotos  ,  Bosque Secreto  ,  Covil dos Insetos Mutantes",Qualquer hora,Todas,Qualquer,15.0,Carpa-surpresa  (4)
9,,Peixe-sol,1,Rio,6:00 às 19:00,Primavera  /  Verão,Sol  Vento,30.0,Peixe cozido  (1)
10,,Enguia,2,Oceano,16:00 às 2:00,Primavera  /  Outono,Chuva,70.0,Enguia frita  (1)  Enguia picante  (1)
11,,Lula,1,Oceano,18:00 às 2:00,Inverno,Qualquer,75.0,Lula frita  (1)
12,,Pepino-do-mar,1,Oceano,6:00 às 19:00,Outono  /  Inverno,Qualquer,40.0,Almoço da sorte  (1)
13,,Peixe  (Qualquer),2,Qualquer lugar,Qualquer hora,Todas,Qualquer,,Sashimi  (1)  Rolinhos de arroz  (1)
14,,Algas marinhas,1,Oceano,Qualquer hora,Todas,Qualquer,0.0,Rolinhos de arroz  (1)
15,,Algas verdes,5,Qualquer lugar com exeção da  Lagoa da Fazenda,Qualque hora,Todas,Qualquer,0.0,Sopa de truta  (1)  Sopa de alga  (4)
16,,Algas brancas,2,"Minas  ,  Esgotos  ,  Covil dos Insetos Mutantes  ,  Pântano da bruxa",Qualquer hora,Todas,Qualquer,0.0,Caldo pálido  (2)
