,0,1,2,3,4
0,Custo por 5  Solo Foliar  Qualidade da Concha  Artesanato  Pierre  Sem  Profissão  Normal  150 ouros  500 ouros  Prata  162 ouros  Ouro  175 ouros  Irídio  200 ouros  Profissão  Torneirinha  Normal  175 ouros  Prata  187 ouros  Ouro  200 ouros  Irídio  225 ouros,,Custo por 5  Solo Foliar Premium  Qualidade do Coral  Artesanato  Oásis  Pierre  Sem  Profissão  Normal  230 ouros  400 ouros  750 ouros  Prata  250 ouros  Ouro  270 ouros  Irídio  310 ouros  Profissão  Torneirinha  Normal  267 ouros  Prata  287 ouros  Ouro  307 ouros  Irídio  347 ouros,,
1,,Qualidade da Concha,Artesanato,Pierre,
2,Sem  Profissão,Normal,150 ouros,500 ouros,
3,Sem  Profissão,Prata,162 ouros,500 ouros,
4,Sem  Profissão,Ouro,175 ouros,500 ouros,
5,Sem  Profissão,Irídio,200 ouros,500 ouros,
6,Profissão  Torneirinha,Normal,175 ouros,500 ouros,
7,Profissão  Torneirinha,Prata,187 ouros,500 ouros,
8,Profissão  Torneirinha,Ouro,200 ouros,500 ouros,
9,Profissão  Torneirinha,Irídio,225 ouros,500 ouros,
10,,Qualidade do Coral,Artesanato,Oásis,Pierre
11,Sem  Profissão,Normal,230 ouros,400 ouros,750 ouros
12,Sem  Profissão,Prata,250 ouros,400 ouros,750 ouros
13,Sem  Profissão,Ouro,270 ouros,400 ouros,750 ouros
14,Sem  Profissão,Irídio,310 ouros,400 ouros,750 ouros
15,Profissão  Torneirinha,Normal,267 ouros,400 ouros,750 ouros
16,Profissão  Torneirinha,Prata,287 ouros,400 ouros,750 ouros
17,Profissão  Torneirinha,Ouro,307 ouros,400 ouros,750 ouros
18,Profissão  Torneirinha,Irídio,347 ouros,400 ouros,750 ouros
