,Imagem,Nome,Descrição,Preço
0,,Madeira,Um material ao mesmo tempo flexível e resistente com várias utilizações.,Ano 1:  10 ouros  Ano 2+:  50 ouros
1,,Pedra,Um material comum com diversos usos em construções.,Ano 1:  20 ouros  Ano 2+:  100 ouros
2,,Janela básica,Pode ser colocado dentro de casa.,300 ouros
3,,Janela pequena,Pode ser colocado dentro de casa.,300 ouros
4,,Calendário,Pode ser colocado dentro de casa.,2 000 ouros
5,,Bancada de Trabalho,"Quando construir aqui, você terá acesso a qualquer baú adjacente.",3 000 ouros
6,,Triturador de Madeira,Coloque um pedaço de madeira de lei para transformá-la em madeira normal.  (Disponível após receber uma carta no inverno),1 000 ouros
7,,Mini-Geladeira,Permite que você armazene mais ingredientes para conzinhar.,3 000 ouros
8,,Telefone,Pode ser usado para ver horários e invetários de lojas.,2 000 ouros
9,,TV de quarto,Pode ser colocado dentro de casa.,700 ouros
10,,TV barata,Pode ser colocado dentro de casa.,750 ouros
11,,TV de plasma,Pode ser colocado dentro de casa.  (Disponível após a primeira atualização da  Casa da Fazenda  ),4 500 ouros
12,,Catálogo de Mobília,Dá acesso ilimitado a cada item de mobília... do conforto da sua casa!  (Disponível após a primeira atualização da  Casa da Fazenda  ),200 000 ouros
13,,Planta Sazonal,Uma planta ornamental que muda a cada estação. Não precisa ser regada.,400 ouros
14,,Tronco Básico,Uma peça decorativa para sua fazenda.,250 ouros
15,,Seção de Tronco,Uma peça decorativa para sua fazenda.,350 ouros
16,,Lareira de Tijolos,Pode ser colocado dentro de casa.,1 000 ouros
17,,Lareira de Pedra,Pode ser colocado dentro de casa.,1 500 ouros
18,,Fogão-Lareira,Pode ser colocado dentro de casa.,3 000 ouros
19,,Cama de Casal de Luxo Vermelha,"Pode ser colocado dentro de casa.  (Disponível após completar o pedido especial  ""Projeto da Robin""  )",6 000 ouros
20,,Cama,Pode ser colocado dentro de casa.,500 ouros
21,,Cama de Casal,Pode ser colocado dentro de casa.  (Disponível após a primeira melhoria na  Casa  ),2 000 ouros
22,,Cama de Criança,Pode ser colocado dentro de casa.  (Disponível após a segunda melhoria na  Casa  ),2 000 ouros
23,,Receita de  Braseiro de madeira,Projetos de artesanato  Braseiro de madeira,250 ouros
24,,Receita de  Braseiro de pedra,Projetos de artesanato  Braseiro de pedra  (Disponível depois de aprender a receita de  Braseiro de madeira  ),400 ouros
25,,Receita de  Braseiro de barril,Projetos de artesanato  Braseiro de barril  (Disponível depois de aprender a receita de  Braseiro de pedra  ),800 ouros
26,,Receita de  Braseiro de toco de árvore,Projetos de artesanato  Braseiro de toco de árvore  (Disponível depois de aprender a receita de  Braseiro de barril  ),800 ouros
27,,Receita de  Braseiro dourado,Projetos de artesanato  Braseiro dourado  (Disponível depois de aprender a receita de  Braseiro de toco de árvore  ),1 000 ouros
28,,Receita de  Braseiro esculpido,Projetos de artesanato  Braseiro esculpido  (Disponível depois de aprender a receita de  Braseiro dourado  ),2 000 ouros
29,,Receita de  Braseiro de crânio,Projetos de artesanato  Braseiro de crânio  (Disponível depois de aprender a receita de  Braseiro esculpido  ),3 000 ouros
30,,Receita de  Braseiro de mármore,Projetos de artesanato  Braseiro de mármore  (Disponível depois de aprender a receita de  Braseiro de crânio  ),5 000 ouros
31,,Receita de  Poste de luz lígneo,Projetos de artesanato  Poste de luz lígneo,500 ouros
32,,Receita de  Poste de luz férreo,Projetos de artesanato  Poste de luz férreo,1 000 ouros
33,,Receita de  Piso de madeira,Projetos de artesanato  Piso de madeira,500 ouros
34,,Receita de  Piso de pedra,Projetos de artesanato  Piso de pedra,500 ouros
35,,Receita de  Piso de tijolo,Projetos de artesanato  Piso de tijolo,500 ouros
36,,Receita de  Caminho de Pedras Polidas,Projetos de artesanato  Caminho de Pedras Polidas,500 ouros
37,,Receita de  Piso de palha,Projetos de artesanato  Piso de palha,1 000 ouros
38,,Receita de  Caminho de cristal,Projetos de artesanato  Caminho de cristal,1 000 ouros
39,,Receita de  Baú Grande,Projetos de artesanato  Baú Grande,5 000 ouros
