,Nome,Machado,Vara de pesca,Enxada,Picareta,Regador,Efeito
0,Anzol Automático,,,,,,Automaticamente fisga peixes/lixo quando eles mordem (o que inicia o minijogo de pesca se fisgar um peixe).
1,Arqueólogo,,,,,,Dobra a chance de encontrar artefatos em pontos de artefato.
2,Sem-fundo,,,,,,Água infinita.
3,Eficiente,,,,,,Não consome energia.
4,Generoso,,,,,,50% de chance de dobrar o número de itens ao escavar.
5,Mestre,,,,,,Adiciona um nível de pesca extra ao jogador enquanto a segura.
6,Poderoso,,,,,,Adiciona 1 nível de poder extra para picareta e 2 para machado.
7,Preservador,,,,,,50% de chance de que a isca e o equipamento não sejam consumidos na pesca.
8,Abrangente,,,,,,Aumenta a área máxima de efeito para 5x5.
9,Cortante,,,,,,"3 madeiras extra de árvores de carvalho, ácer, pinheiro e palmeira.  3 madeiras de árvores de cogumelo e mogno.  Possibilidade de madeira de lei extra de tocos.  Possibilidade de produção extra de safras gigantes."
10,Rápido,,,,,,O uso da ferramenta é 33% mais rápido.
