,Imagem,Nome,Descrição,Quando usar,Armazém do Pierre,Oásis,Preço de Venda,Ingredientes,Produz,Origem da Receita
0,,Fertilizante básico,"Melhora a qualidade do fertilizante um pouco, aumentando sua chance de criar plantações de qualidade. Misture no fertilizante arado.",Antes da semente crescer,100 ouros,,2 ouros,Seiva  (2),1,Cultivo  Nível 1
1,,Fertilizante de qualidade,"Melhora a qualidade do fertilizante, aumentando sua chance de plantar colheitas de qualidade. Misture no fertilizante arado.",Antes da semente crescer,150 ouros,,10 ouros,Seiva  (2)  Qualquer peixe  (1),1,Cultivo  Nível 9
2,,Fertilizante Premium,"Aumenta muito a qualidade do solo, aumentando sua chance de crescer plantas de qualidade. Misture no solo arado.",Antes da semente crescer,,,70 ouros,Barra de irídio  (1)  Seiva  (40),5,Sala de Nozes do Sr. Qi  por  Gema Qi  (20)
3,,Solo retentor,Possui uma chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Antes ou depois do plantio,100 ouros,,4 ouros,Pedra  (2),1,Cultivo  Nível 4
4,,Solo retentor de qualidade,Possui boa chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Antes ou depois do plantio,150 ouros,200 ouros,5 ouros,Pedra  (3)  Argila  (1),1,Cultivo  Nível 7
5,,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,Antes ou depois do plantio,,,30 ouros,Pedra  (5)  Fibra  (3)  Argila  (1),1,Comerciante da Ilha  por  Fragmento de Brasa  (50)
6,,Solo Foliar,Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 10%. Misture no fertilizante arado.,Antes ou depois do plantio,100 ouros,,20 ouros,Alcatrão de pinho  (1)  Concha  (1),5,Cultivo  Nível 3
7,,Solo Foliar Premium,Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 25%. Misture no fertilizante arado.,Antes ou depois do plantio,150 ouros,80 ouros,40 ouros,Resina de carvalho  (1)  Fragmento de Osso  (5),5,Cultivo  Nível 8
8,,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,Antes ou depois do plantio,,,70 ouros,Minério Radioativo  (1)  Fragmento de Osso  (3)  Essência solar  (1),1,Sala de Nozes do Sr. Qi  por  Gema Qi  (30)
9,,Fertilizante de Árvore,"Use em um árvore para ter um crescimento rápido, até no inverno. Não funciona com árvores de frutos.",Após plantar as sementes,,,10 ouros,Fibra  (5)  Pedra  (5),1,Coleta  Nível 7
