Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Colheita.1,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Mudas de lúpulo  Armazém  60 ouros  Mercado Joja  75 ouros,1 Dia,2 Dias,3 Dias,4 Dias,Total: 11 Dias,Continua a  produzir todo dia.,"≈  13,52 ouros  /d",25 ouros  31 ouros  37 ouros  50 ouros,45  20  63  28  81  36  117  52,Pale Ale,Verão,Mudas de lúpulo,Armazém  60 ouros  Mercado Joja  75 ouros,13.52
Mudas de lúpulo  Armazém  60 ouros  Mercado Joja  75 ouros,Mudas de lúpulo  Armazém  60 ouros  Mercado Joja  75 ouros,45  20  63  28  81  36  117  52,Pale Ale,,,,,,,,Verão,,,13.52
,25 ouros,,,,,,,,,,Verão,,,13.52
,31 ouros,,,,,,,,,,Verão,,,13.52
,37 ouros,,,,,,,,,,Verão,,,13.52
,50 ouros,,,,,,,,,,Verão,,,13.52
,45,,20,,,,,,,,Verão,,,13.52
,63,,28,,,,,,,,Verão,,,13.52
,81,,36,,,,,,,,Verão,,,13.52
,117,,52,,,,,,,,Verão,,,13.52
1 Dia,1 Dia,2 Dias,3 Dias,4 Dias,Total: 11 Dias,Continua a  produzir todo dia.,"≈  13,52 ouros  /d",,,,Verão,,,13.52
