Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de alcachofra  Armazém  30 ouros,2 Dias,1 Dia,2 Dias,1 Dia,Total: 8 Dias,"16,25 ouros  /d",160 ouros  200 ouros  240 ouros  320 ouros,30  13  42  18  54  24  78  35,Molho de alcachofra  Superprato,Outono,Sementes de alcachofra  Armazém  30 ouros,,16.25
Sementes de alcachofra  Armazém  30 ouros,,Sementes de alcachofra  Armazém  30 ouros,30  13  42  18  54  24  78  35,Molho de alcachofra  Superprato,,,,,,Outono,Sementes de alcachofra  Armazém  30 ouros,,16.25
,160 ouros,,,,,,,,,Outono,,,16.25
,200 ouros,,,,,,,,,Outono,,,16.25
,240 ouros,,,,,,,,,Outono,,,16.25
,320 ouros,,,,,,,,,Outono,,,16.25
,30,,13,,,,,,,Outono,,,16.25
,42,,18,,,,,,,Outono,,,16.25
,54,,24,,,,,,,Outono,,,16.25
,78,,35,,,,,,,Outono,,,16.25
2 Dias,2 Dias,1 Dia,2 Dias,1 Dia,Total: 8 Dias,"16,25 ouros  /d",,,,Outono,2 Dias,,16.25
