Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de amaranto  Armazém  70 ouros  Mercado Joja  87 ouros,2 Dia,2 Dias,2 Dia,Total: 7 Dias,"≈  11,43 ouros  /d",150 ouros  187 ouros  225 ouros  300 ouros,50  22  70  31  90  40  130  58,Jantar de salmão,Outono,Sementes de amaranto  Armazém  70 ouros  Mercado Joja  87 ouros,,11.43
Sementes de amaranto  Armazém  70 ouros  Mercado Joja  87 ouros,,Sementes de amaranto  Armazém  70 ouros  Mercado Joja  87 ouros,50  22  70  31  90  40  130  58,Jantar de salmão,,,,,Outono,Sementes de amaranto  Armazém  70 ouros  Mercado Joja  87 ouros,,11.43
,150 ouros,,,,,,,,Outono,,,11.43
,187 ouros,,,,,,,,Outono,,,11.43
,225 ouros,,,,,,,,Outono,,,11.43
,300 ouros,,,,,,,,Outono,,,11.43
,50,,22,,,,,,Outono,,,11.43
,70,,31,,,,,,Outono,,,11.43
,90,,40,,,,,,Outono,,,11.43
,130,,58,,,,,,Outono,,,11.43
1 Dias,2 Dia,2 Dias,2 Dia,Total: 7 Dias,"≈  11,43 ouros  /d",,,,Outono,1 Dias,,11.43
