,Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Colheita.1,Vende por,Restaura,Usado em
0,Sementes de berinjela  Armazém  20 ouros  Mercado Joja  25 ouros,,,,,,,,60 ouros  75 ouros  90 ouros  120 ouros,20  9  28  12  36  16  52  23,Hambúrguer de sobreviência  Parmesão com berinjela  Conjunto Plantações de Outono
1,Sementes de berinjela  Armazém  20 ouros  Mercado Joja  25 ouros,,Sementes de berinjela  Armazém  20 ouros  Mercado Joja  25 ouros,20  9  28  12  36  16  52  23,Hambúrguer de sobreviência  Parmesão com berinjela  Conjunto Plantações de Outono,,,,,,
2,,60 ouros,,,,,,,,,
3,,75 ouros,,,,,,,,,
4,,90 ouros,,,,,,,,,
5,,120 ouros,,,,,,,,,
6,,20,,9,,,,,,,
7,,28,,12,,,,,,,
8,,36,,16,,,,,,,
9,,52,,23,,,,,,,
10,1 Dia,1 Dia,1 Dia,1 Dia,1 Dia,Total: 5 Dias,Continua a  produzir a cada 5 dias.,"11,2 ouros  /d",,,
