Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de beterraba  Oásis  20 ouros,1 Dia,2 Dias,2 Dias,Total: 6 Dias,"≈  13,33 ouros  /d",100 ouros  125 ouros  150 ouros  200 ouros,30  13  42  18  54  24  78  35,Mexido de legumes  Açúcar,Outono,Sementes de beterraba  Oásis  20 ouros,,13.33
Sementes de beterraba  Oásis  20 ouros,,Sementes de beterraba  Oásis  20 ouros,30  13  42  18  54  24  78  35,Mexido de legumes  Açúcar,,,,,Outono,Sementes de beterraba  Oásis  20 ouros,,13.33
,100 ouros,,,,,,,,Outono,,,13.33
,125 ouros,,,,,,,,Outono,,,13.33
,150 ouros,,,,,,,,Outono,,,13.33
,200 ouros,,,,,,,,Outono,,,13.33
,30,,13,,,,,,Outono,,,13.33
,42,,18,,,,,,Outono,,,13.33
,54,,24,,,,,,Outono,,,13.33
,78,,35,,,,,,Outono,,,13.33
1 Dia,1 Dia,2 Dias,2 Dias,Total: 6 Dias,"≈  13,33 ouros  /d",,,,Outono,1 Dia,,13.33
