Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Colheita.1,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Cacto  Oásis  :  150 ouros,2 Dias,2 Dias,3 Dias,3 Dias,Total: 12 Dias,Repete a cada 3 Dias,"Estação de plantio: ≈  11,11 ouros  /d  Cada estação seguinte: ≈  24,11 ouros  /d",,,,Especial,Sementes de Cacto,Oásis  :  150 ouros,11.11
Sementes de Cacto  Oásis  :  150 ouros,,,,,,,,75 ouros  93 ouros  112 ouros  150 ouros,75  33  105  47  135  60  195  87,Conjunto Recursos Exóticos,Especial,,,11.11
Sementes de Cacto  Oásis  :  150 ouros,,75 ouros,75  33  105  47  135  60  195  87,Conjunto Recursos Exóticos,,,,,,,Especial,,,11.11
,93 ouros,,,,,,,,,,Especial,,,11.11
,112 ouros,,,,,,,,,,Especial,,,11.11
,150 ouros,,,,,,,,,,Especial,,,11.11
,75,,33,,,,,,,,Especial,,,11.11
,105,,47,,,,,,,,Especial,,,11.11
,135,,60,,,,,,,,Especial,,,11.11
,195,,87,,,,,,,,Especial,,,11.11
2 Dias,2 Dias,2 Dias,3 Dias,3 Dias,Total: 12 Dias,Repete a cada 3 Dias,"Estação de plantio: ≈  11,11 ouros  /d  Cada estação seguinte: ≈  24,11 ouros  /d",,,,Especial,,,11.11
