Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Vende por,Restaura,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de carambola  Oásis  400 ouros,3 Dias,2 Dias,3 Dias,3 Dias,Total: 13 Dias,"≈  26,92 ouros  /d",750 ouros  937 ouros  1 125 ouros  1 500 ouros,125  56  175  78  225  101  325  146,Verão,Sementes de carambola,Oásis  400 ouros,26.92
Sementes de carambola  Oásis  400 ouros,,Sementes de carambola  Oásis  400 ouros,125  56  175  78  225  101  325  146,,,,,,Verão,,,26.92
,750 ouros,,,,,,,,Verão,,,26.92
,937 ouros,,,,,,,,Verão,,,26.92
,1 125 ouros,,,,,,,,Verão,,,26.92
,1 500 ouros,,,,,,,,Verão,,,26.92
,125,,56,,,,,,Verão,,,26.92
,175,,78,,,,,,Verão,,,26.92
,225,,101,,,,,,Verão,,,26.92
,325,,146,,,,,,Verão,,,26.92
2 Dias,3 Dias,2 Dias,3 Dias,3 Dias,Total: 13 Dias,"≈  26,92 ouros  /d",,,Verão,,,26.92
