Sementes,Estágio 1,Estágio 2,Estágio 3,Colheita,Vende por,Restaura,Estação,Semente,Origem,Renda média (ouro por dia)
Carrot Seeds,1 Dia,1 Dia,Total: 3 Dias,"≈  11,67 ouros  /d",35 ouros  43 ouros  52 ouros  70 ouros,75  33  105  47  135  60  195  87,Primavera,Carrot Seeds,,11.67
Carrot Seeds,Carrot Seeds,75  33  105  47  135  60  195  87,,,,,Primavera,,,11.67
,Carrot Seeds,35 ouros,,,,,Primavera,,,11.67
,43 ouros,,,,,,Primavera,,,11.67
,52 ouros,,,,,,Primavera,,,11.67
,70 ouros,,,,,,Primavera,,,11.67
,75,,33,,,,Primavera,,,11.67
,105,,47,,,,Primavera,,,11.67
,135,,60,,,,Primavera,,,11.67
,195,,87,,,,Primavera,,,11.67
1 Dia,1 Dia,1 Dia,Total: 3 Dias,"≈  11,67 ouros  /d",,,Primavera,,,11.67
