Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de chirívia  Armazém  20 ouros  Mercado Joja  25 ouros,1 Dia,1 Dia,1 Dia,Total: 4 Dias,"3,75 ouros  /d",35 ouros  43 ouros  52 ouros  70 ouros,25  11  35  15  45  20  65  29,Sopa de chirívia  Almoço de fazendeiro  Conjunto Plantações de Primavera  Conjunto Plantações de Qualidade,Primavera,Sementes de chirívia,Armazém  20 ouros  Mercado Joja  25 ouros,3.75
Sementes de chirívia  Armazém  20 ouros  Mercado Joja  25 ouros,,Sementes de chirívia  Armazém  20 ouros  Mercado Joja  25 ouros,25  11  35  15  45  20  65  29,Sopa de chirívia  Almoço de fazendeiro  Conjunto Plantações de Primavera  Conjunto Plantações de Qualidade,,,,,Primavera,,,3.75
,35 ouros,,,,,,,,Primavera,,,3.75
,43 ouros,,,,,,,,Primavera,,,3.75
,52 ouros,,,,,,,,Primavera,,,3.75
,70 ouros,,,,,,,,Primavera,,,3.75
,25,,11,,,,,,Primavera,,,3.75
,35,,15,,,,,,Primavera,,,3.75
,45,,20,,,,,,Primavera,,,3.75
,65,,29,,,,,,Primavera,,,3.75
1 Dia,1 Dia,1 Dia,1 Dia,Total: 4 Dias,"3,75 ouros  /d",,,,Primavera,,,3.75
