Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de couve  Armazém  70 ouros  Mercado Joja  87 ouros,2 Dias,2 Dias,1 Dia,Total: 6 Dias,"≈  6,67 ouros  /d",110 ouros  137 ouros  165 ouros  220 ouros,50  22  70  31  90  40  130  58,Refogado  Jantar de salmão,Primavera,Sementes de couve  Armazém  70 ouros  Mercado Joja  87 ouros,,6.67
Sementes de couve  Armazém  70 ouros  Mercado Joja  87 ouros,,Sementes de couve  Armazém  70 ouros  Mercado Joja  87 ouros,50  22  70  31  90  40  130  58,Refogado  Jantar de salmão,,,,,Primavera,Sementes de couve  Armazém  70 ouros  Mercado Joja  87 ouros,,6.67
,110 ouros,,,,,,,,Primavera,,,6.67
,137 ouros,,,,,,,,Primavera,,,6.67
,165 ouros,,,,,,,,Primavera,,,6.67
,220 ouros,,,,,,,,Primavera,,,6.67
,50,,22,,,,,,Primavera,,,6.67
,70,,31,,,,,,Primavera,,,6.67
,90,,40,,,,,,Primavera,,,6.67
,130,,58,,,,,,Primavera,,,6.67
1 Dia,2 Dias,2 Dias,1 Dia,Total: 6 Dias,"≈  6,67 ouros  /d",,,,Primavera,1 Dia,,6.67
