Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de couve chinesa  Armazém  50 ouros  Mercado Joja  62 ouros,1 Dia,1 Dia,1 Dia,Total: 4 Dias,"7,5 ouros  /d",80 ouros  100 ouros  120 ouros  160 ouros,25  11  35  15  45  20  65  29,Superprato,Outono,Sementes de couve chinesa  Armazém  50 ouros  Mercado Joja  62 ouros,,7.5
Sementes de couve chinesa  Armazém  50 ouros  Mercado Joja  62 ouros,,Sementes de couve chinesa  Armazém  50 ouros  Mercado Joja  62 ouros,25  11  35  15  45  20  65  29,Superprato,,,,,Outono,Sementes de couve chinesa  Armazém  50 ouros  Mercado Joja  62 ouros,,7.5
,80 ouros,,,,,,,,Outono,,,7.5
,100 ouros,,,,,,,,Outono,,,7.5
,120 ouros,,,,,,,,Outono,,,7.5
,160 ouros,,,,,,,,Outono,,,7.5
,25,,11,,,,,,Outono,,,7.5
,35,,15,,,,,,Outono,,,7.5
,45,,20,,,,,,Outono,,,7.5
,65,,29,,,,,,Outono,,,7.5
1 Dia,1 Dia,1 Dia,1 Dia,Total: 4 Dias,"7,5 ouros  /d",,,,Outono,1 Dia,,7.5
