Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Couve-flor  Armazém  80 ouros  Mercado Joja  100 ouros,2 Dias,4 Dias,4 Dias,1 Dias,Total: 12 Dias,"≈  7,92 ouros  /d",175 ouros  218 ouros  262 ouros  350 ouros,75  33  105  47  135  60  195  87,Couve-flor com queijo  Conjunto Plantações de Primavera,Primavera,Sementes de Couve-flor  Armazém  80 ouros  Mercado Joja  100 ouros,,7.92
Sementes de Couve-flor  Armazém  80 ouros  Mercado Joja  100 ouros,,Sementes de Couve-flor  Armazém  80 ouros  Mercado Joja  100 ouros,75  33  105  47  135  60  195  87,Couve-flor com queijo  Conjunto Plantações de Primavera,,,,,,Primavera,Sementes de Couve-flor  Armazém  80 ouros  Mercado Joja  100 ouros,,7.92
,175 ouros,,,,,,,,,Primavera,,,7.92
,218 ouros,,,,,,,,,Primavera,,,7.92
,262 ouros,,,,,,,,,Primavera,,,7.92
,350 ouros,,,,,,,,,Primavera,,,7.92
,75,,33,,,,,,,Primavera,,,7.92
,105,,47,,,,,,,Primavera,,,7.92
,135,,60,,,,,,,Primavera,,,7.92
,195,,87,,,,,,,Primavera,,,7.92
1 Dia,2 Dias,4 Dias,4 Dias,1 Dias,Total: 12 Dias,"≈  7,92 ouros  /d",,,,Primavera,1 Dia,,7.92
