Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de fada  Armazém  200 ouros  Mercado Joja  250 ouros,4 Dias,4 Dias,3 Dias,Total: 12 Dias,"7,5 ouros  /d",290 ouros  362 ouros  435 ouros  580 ouros,45  20  63  28  81  36  117  52,Outono,Sementes de fada,Armazém  200 ouros  Mercado Joja  250 ouros,7.5
Sementes de fada  Armazém  200 ouros  Mercado Joja  250 ouros,,Sementes de fada  Armazém  200 ouros  Mercado Joja  250 ouros,45  20  63  28  81  36  117  52,,,,,Outono,,,7.5
,290 ouros,,,,,,,Outono,,,7.5
,362 ouros,,,,,,,Outono,,,7.5
,435 ouros,,,,,,,Outono,,,7.5
,580 ouros,,,,,,,Outono,,,7.5
,45,,20,,,,,Outono,,,7.5
,63,,28,,,,,Outono,,,7.5
,81,,36,,,,,Outono,,,7.5
,117,,52,,,,,Outono,,,7.5
1 Dia,4 Dias,4 Dias,3 Dias,Total: 12 Dias,"7,5 ouros  /d",,,Outono,,,7.5
