Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Girassol  Armazém  200 ouros  Mercado Joja  125 ouros,2 Dia,3 Dias,2 Dia,Total: 8 Dias,"Armazém: ≈  -15 ouros  /d  Joja: ≈  -5,63 ouros  /d",80 ouros  100 ouros  120 ouros  160 ouros,45  20  63  28  81  36  117  52,Óleo  Conjunto Tinta,Verão,Sementes de Girassol  Armazém  200 ouros  Mercado Joja  125 ouros,,15
Sementes de Girassol  Armazém  200 ouros  Mercado Joja  125 ouros,,Sementes de Girassol  Armazém  200 ouros  Mercado Joja  125 ouros,45  20  63  28  81  36  117  52,Óleo  Conjunto Tinta,,,,,Verão,Sementes de Girassol  Armazém  200 ouros  Mercado Joja  125 ouros,,15
,80 ouros,,,,,,,,Verão,,,15
,100 ouros,,,,,,,,Verão,,,15
,120 ouros,,,,,,,,Verão,,,15
,160 ouros,,,,,,,,Verão,,,15
,45,,20,,,,,,Verão,,,15
,63,,28,,,,,,Verão,,,15
,81,,36,,,,,,Verão,,,15
,117,,52,,,,,,Verão,,,15
1 Dias,2 Dia,3 Dias,2 Dia,Total: 8 Dias,"Armazém: ≈  -15 ouros  /d  Joja: ≈  -5,63 ouros  /d",,,,Verão,1 Dias,,15
