Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de inhame  Armazém  60 ouros  Mercado Joja  75 ouros,3 Dias,3 Dias,3 Dias,Total: 10 Dias,10 ouros  /d,160 ouros  200 ouros  240 ouros  320 ouros,45  20  63  28  81  36  117  52,Inhames com cobertura  Prato de outono  Conjunto Plantações de Outono,Outono,Sementes de inhame,Armazém  60 ouros  Mercado Joja  75 ouros,10
Sementes de inhame  Armazém  60 ouros  Mercado Joja  75 ouros,,Sementes de inhame  Armazém  60 ouros  Mercado Joja  75 ouros,45  20  63  28  81  36  117  52,Inhames com cobertura  Prato de outono  Conjunto Plantações de Outono,,,,,Outono,,,10
,160 ouros,,,,,,,,Outono,,,10
,200 ouros,,,,,,,,Outono,,,10
,240 ouros,,,,,,,,Outono,,,10
,320 ouros,,,,,,,,Outono,,,10
,45,,20,,,,,,Outono,,,10
,63,,28,,,,,,Outono,,,10
,81,,36,,,,,,Outono,,,10
,117,,52,,,,,,Outono,,,10
1 Dia,3 Dias,3 Dias,3 Dias,Total: 10 Dias,10 ouros  /d,,,,Outono,,,10
