Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Jasmim-azul  Armazém  30 ouros  Mercado Joja  37 ouros,2 Dias,2 Dias,2 Dias,Total: 7 Dias,"≈  2,86 ouros  /d",50 ouros  62 ouros  75 ouros  100 ouros,45  20  63  28  81  36  117  52,Almoço da sorte,Primavera,Sementes de Jasmim-azul,Armazém  30 ouros  Mercado Joja  37 ouros,2.86
Sementes de Jasmim-azul  Armazém  30 ouros  Mercado Joja  37 ouros,,Sementes de Jasmim-azul  Armazém  30 ouros  Mercado Joja  37 ouros,45  20  63  28  81  36  117  52,Almoço da sorte,,,,,Primavera,,,2.86
,50 ouros,,,,,,,,Primavera,,,2.86
,62 ouros,,,,,,,,Primavera,,,2.86
,75 ouros,,,,,,,,Primavera,,,2.86
,100 ouros,,,,,,,,Primavera,,,2.86
,45,,20,,,,,,Primavera,,,2.86
,63,,28,,,,,,Primavera,,,2.86
,81,,36,,,,,,Primavera,,,2.86
,117,,52,,,,,,Primavera,,,2.86
1 Dia,2 Dias,2 Dias,2 Dias,Total: 7 Dias,"≈  2,86 ouros  /d",,,,Primavera,,,2.86
