Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Melão  Armazém  80 ouros  Mercado Joja  100 ouros,2 Dias,3 Dias,3 Dias,3 Dias,Total: 12 Dias,"≈  14,17 ouros  /d",250 ouros  312 ouros  375 ouros  500 ouros,113  50  158  71  203  91  293  131,Bolo rosa  Salada de frutas  Conjunto Plantações de Verão  Conjunto Plantações de Qualidade,Verão,Sementes de Melão  Armazém  80 ouros  Mercado Joja  100 ouros,,14.17
Sementes de Melão  Armazém  80 ouros  Mercado Joja  100 ouros,,Sementes de Melão  Armazém  80 ouros  Mercado Joja  100 ouros,113  50  158  71  203  91  293  131,Bolo rosa  Salada de frutas  Conjunto Plantações de Verão  Conjunto Plantações de Qualidade,,,,,,Verão,Sementes de Melão  Armazém  80 ouros  Mercado Joja  100 ouros,,14.17
,250 ouros,,,,,,,,,Verão,,,14.17
,312 ouros,,,,,,,,,Verão,,,14.17
,375 ouros,,,,,,,,,Verão,,,14.17
,500 ouros,,,,,,,,,Verão,,,14.17
,113,,50,,,,,,,Verão,,,14.17
,158,,71,,,,,,,Verão,,,14.17
,203,,91,,,,,,,Verão,,,14.17
,293,,131,,,,,,,Verão,,,14.17
1 Dia,2 Dias,3 Dias,3 Dias,3 Dias,Total: 12 Dias,"≈  14,17 ouros  /d",,,,Verão,1 Dia,,14.17
