Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de Miçanga  Armazém  50 ouros  Mercado Joja  62 ouros,2 Dias,3 Dias,2 Dias,Total: 8 Dias,≈  5 ouros  /d,90 ouros  112 ouros  135 ouros  180 ouros,45  20  63  28  81  36  117  52,Verão,Sementes de Miçanga,Armazém  50 ouros  Mercado Joja  62 ouros,5
Sementes de Miçanga  Armazém  50 ouros  Mercado Joja  62 ouros,Sementes de Miçanga  Armazém  50 ouros  Mercado Joja  62 ouros,45  20  63  28  81  36  117  52,,,,,,Verão,,,5
,90 ouros,,,,,,,Verão,,,5
,112 ouros,,,,,,,Verão,,,5
,135 ouros,,,,,,,Verão,,,5
,180 ouros,,,,,,,Verão,,,5
,45,,20,,,,,Verão,,,5
,63,,28,,,,,Verão,,,5
,81,,36,,,,,Verão,,,5
,117,,52,,,,,Verão,,,5
1 Dia,2 Dias,3 Dias,2 Dias,Total: 8 Dias,≈  5 ouros  /d,,,Verão,,,5
