Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Colheita.1,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de mirtilo  Armazém  80 ouros,3 Dias,3 Dias,4 Dias,2 Dias,Total: 13 Dias,Continua a  produzir a cada 4 dias.,"20,8 ouros  /d",50 ouros  62 ouros  75 ouros  100 ouros,25  11  35  15  45  20  65  29,Torta de Mirtilo  Salada de frutas  Conjunto Plantações de Verão,Verão,Sementes de mirtilo  Armazém  80 ouros,,20.8
Sementes de mirtilo  Armazém  80 ouros,,Sementes de mirtilo  Armazém  80 ouros,25  11  35  15  45  20  65  29,Torta de Mirtilo  Salada de frutas  Conjunto Plantações de Verão,,,,,,,Verão,Sementes de mirtilo  Armazém  80 ouros,,20.8
,50 ouros,,,,,,,,,,Verão,,,20.8
,62 ouros,,,,,,,,,,Verão,,,20.8
,75 ouros,,,,,,,,,,Verão,,,20.8
,100 ouros,,,,,,,,,,Verão,,,20.8
,25,,11,,,,,,,,Verão,,,20.8
,35,,15,,,,,,,,Verão,,,20.8
,45,,20,,,,,,,,Verão,,,20.8
,65,,29,,,,,,,,Verão,,,20.8
1 Dia,3 Dias,3 Dias,4 Dias,2 Dias,Total: 13 Dias,Continua a  produzir a cada 4 dias.,"20,8 ouros  /d",,,,Verão,1 Dia,,20.8
