Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de papoula  Armazém  100 ouros  Mercado Joja  125 ouros,2 Dias,2 Dias,2 Dias,Total: 7 Dias,"≈  5,71 ouros  /d",140 ouros  175 ouros  210 ouros  280 ouros,45  20  63  28  81  36  117  52,Bolinho de papoula  Conjunto de Cozinheiro,Verão,Sementes de papoula  Armazém  100 ouros  Mercado Joja  125 ouros,,5.71
Sementes de papoula  Armazém  100 ouros  Mercado Joja  125 ouros,,Sementes de papoula  Armazém  100 ouros  Mercado Joja  125 ouros,45  20  63  28  81  36  117  52,Bolinho de papoula  Conjunto de Cozinheiro,,,,,Verão,Sementes de papoula  Armazém  100 ouros  Mercado Joja  125 ouros,,5.71
,140 ouros,,,,,,,,Verão,,,5.71
,175 ouros,,,,,,,,Verão,,,5.71
,210 ouros,,,,,,,,Verão,,,5.71
,280 ouros,,,,,,,,Verão,,,5.71
,45,,20,,,,,,Verão,,,5.71
,63,,28,,,,,,Verão,,,5.71
,81,,36,,,,,,Verão,,,5.71
,117,,52,,,,,,Verão,,,5.71
1 Dia,2 Dias,2 Dias,2 Dias,Total: 7 Dias,"≈  5,71 ouros  /d",,,,Verão,1 Dia,,5.71
