Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Colheita.1,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de pimenta  Armazém  40 ouros  Mercado Joja  50 ouros,1 Dia,1 Dia,1 Dia,1 Dia,Total: 5 Dias,Continua a  produzir a cada 3 dias.,"≈  10,77 ouros  /d",40 ouros  50 ouros  60 ouros  80 ouros,13  5  18  8  23  10  33  14,Enroladinhos de pimenta  Enguia picante  Conjunto Plantações de Verão,Verão,Sementes de pimenta  Armazém  40 ouros  Mercado Joja  50 ouros,,10.77
Sementes de pimenta  Armazém  40 ouros  Mercado Joja  50 ouros,Sementes de pimenta  Armazém  40 ouros  Mercado Joja  50 ouros,13  5  18  8  23  10  33  14,Enroladinhos de pimenta  Enguia picante  Conjunto Plantações de Verão,,,,,,,,Verão,Sementes de pimenta  Armazém  40 ouros  Mercado Joja  50 ouros,,10.77
,40 ouros,,,,,,,,,,Verão,,,10.77
,50 ouros,,,,,,,,,,Verão,,,10.77
,60 ouros,,,,,,,,,,Verão,,,10.77
,80 ouros,,,,,,,,,,Verão,,,10.77
,13,,5,,,,,,,,Verão,,,10.77
,18,,8,,,,,,,,Verão,,,10.77
,23,,10,,,,,,,,Verão,,,10.77
,33,,14,,,,,,,,Verão,,,10.77
1 Dia,1 Dia,1 Dia,1 Dia,1 Dia,Total: 5 Dias,Continua a  produzir a cada 3 dias.,"≈  10,77 ouros  /d",,,,Verão,1 Dia,,10.77
