Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de rabanete  Armazém  40 ouros  Mercado Joja  50 ouros,1 Dia,2 Dias,1 Dia,Total: 6 Dias,"≈  8,33 ouros  /d",90 ouros  112 ouros  135 ouros  180 ouros,45  20  63  28  81  36  117  52,Prato vermelho  Salada de rabanete,Verão,Sementes de rabanete  Armazém  40 ouros  Mercado Joja  50 ouros,,8.33
Sementes de rabanete  Armazém  40 ouros  Mercado Joja  50 ouros,,Sementes de rabanete  Armazém  40 ouros  Mercado Joja  50 ouros,45  20  63  28  81  36  117  52,Prato vermelho  Salada de rabanete,,,,,Verão,Sementes de rabanete  Armazém  40 ouros  Mercado Joja  50 ouros,,8.33
,90 ouros,,,,,,,,Verão,,,8.33
,112 ouros,,,,,,,,Verão,,,8.33
,135 ouros,,,,,,,,Verão,,,8.33
,180 ouros,,,,,,,,Verão,,,8.33
,45,,20,,,,,,Verão,,,8.33
,63,,28,,,,,,Verão,,,8.33
,81,,36,,,,,,Verão,,,8.33
,117,,52,,,,,,Verão,,,8.33
2 Dias,1 Dia,2 Dias,1 Dia,Total: 6 Dias,"≈  8,33 ouros  /d",,,,Verão,2 Dias,,8.33
