Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de repolho vermelho  Armazém  100 ouros,1 Dia,2 Dias,2 Dias,2 Dias,Total: 9 Dias,"≈  17,78 ouros  /d",260 ouros  325 ouros  390 ouros  520 ouros,75  33  105  47  135  60  195  87,Taco de peixe  Prato vermelho  Salada de repolho  Conjunto Tinta,Verão,Sementes de repolho vermelho  Armazém  100 ouros,,17.78
Sementes de repolho vermelho  Armazém  100 ouros,,Sementes de repolho vermelho  Armazém  100 ouros,75  33  105  47  135  60  195  87,Taco de peixe  Prato vermelho  Salada de repolho  Conjunto Tinta,,,,,,Verão,Sementes de repolho vermelho  Armazém  100 ouros,,17.78
,260 ouros,,,,,,,,,Verão,,,17.78
,325 ouros,,,,,,,,,Verão,,,17.78
,390 ouros,,,,,,,,,Verão,,,17.78
,520 ouros,,,,,,,,,Verão,,,17.78
,75,,33,,,,,,,Verão,,,17.78
,105,,47,,,,,,,Verão,,,17.78
,135,,60,,,,,,,Verão,,,17.78
,195,,87,,,,,,,Verão,,,17.78
2 Dias,1 Dia,2 Dias,2 Dias,2 Dias,Total: 9 Dias,"≈  17,78 ouros  /d",,,,Verão,2 Dias,,17.78
