Sementes,Estágio 1,Estágio 2,Estágio 3,Estágio 4,Estágio 5,Colheita,Colheita.1,Vende por,Restaura,Usado em,Estação,Semente,Origem,Renda média (ouro por dia)
Sementes de tomante  Armazém  50 ouros  Mercado Joja  62 ouros,2 Dias,2 Dias,2 Dias,3 Dias,Total: 11 Dias,Continua a  produzir a cada 4 dias.,"≈  9,26 ouros  /d",60 ouros  75 ouros  90 ouros  120 ouros,20  9  28  12  36  16  52  23,Mexido de legumes  Pizza  Espaguete  Parmesão com berinjela  Brusqueta  Guisado de peixe  Conjunto Plantações de Verão,Verão,Sementes de tomante,Armazém  50 ouros  Mercado Joja  62 ouros,9.26
Sementes de tomante  Armazém  50 ouros  Mercado Joja  62 ouros,,Sementes de tomante  Armazém  50 ouros  Mercado Joja  62 ouros,20  9  28  12  36  16  52  23,Mexido de legumes  Pizza  Espaguete  Parmesão com berinjela  Brusqueta  Guisado de peixe  Conjunto Plantações de Verão,,,,,,,Verão,,,9.26
,60 ouros,,,,,,,,,,Verão,,,9.26
,75 ouros,,,,,,,,,,Verão,,,9.26
,90 ouros,,,,,,,,,,Verão,,,9.26
,120 ouros,,,,,,,,,,Verão,,,9.26
,20,,9,,,,,,,,Verão,,,9.26
,28,,12,,,,,,,,Verão,,,9.26
,36,,16,,,,,,,,Verão,,,9.26
,52,,23,,,,,,,,Verão,,,9.26
2 Dias,2 Dias,2 Dias,2 Dias,3 Dias,Total: 11 Dias,Continua a  produzir a cada 4 dias.,"≈  9,26 ouros  /d",,,,Verão,,,9.26
