,Imagem,Nome,Descrição,Ingrediente,Tempo,Preço de venda,Energia
0,,Maionese,Dá para espalhar.,Ovo  (1)  ou  Ovo grande  (1)  ou  Ovo de Avestruz  ou  Ovo Dourado,3 Horas,190 ouros  237 ouros  285 ouros  380 ouros,Não comestível
1,,190 ouros,,,,,
2,,237 ouros,,,,,
3,,285 ouros,,,,,
4,,380 ouros,,,,,
5,,Maionese de ovo de pato,Rica e amarelinha.,Ovo de pata  (1),3 Horas,375 ouros,Não comestível
6,,375 ouros,,,,,
7,,Maionese nula,Uma pasta espessa e grossa com cheiro de cabelo queimado.,Ovo nulo  (1),3 Horas,275 ouros,−75
8,,275 ouros,,,,,
9,,Maionese de Dinossauro,"É grossa e cremosa, com uma cor verde intensa. Tem cheiro de grama e couro.",Ovo de dinossauro  (1),3 Horas,800 ouros,Não comestível
10,,800 ouros,,,,,
