,Imagem,Item,Descrição,Missão Relacionada
0,,Machado perdido,Robin o procurou por toda a parte.,Machado perdido da Robin
1,,Calções roxos da sorte,Melhor não examinar mais detalhadamente.,"""Shorts"" do Prefeito"
2,,Cesto de cerejas,As fibras estão manchadas de suco de cereja.,Cesta de Mirtilos
3,,Lembrança de Guerra,É uma foto desvanecida de um soldado...,A Esposa do Pirata
4,,Sal Gourmet de Tomate,Um raro e delicioso sal.,A Esposa do Pirata
5,,Rosa do Vale do Orvalho,Uma rosa que te lembra o vale. O cheiro é divino.,A Esposa do Pirata
6,,Controle de TV Avançado,Tem mais botões que um controle normal. Perfeito para um ávido assistidor de TV!,A Esposa do Pirata
7,,Estilhaço Ártico,Este estilhaço brilha com uma luz azul sobrenatural.,A Esposa do Pirata
8,,Minhoca Viva,É uma minhoca úmida se mexendo.,A Esposa do Pirata
9,,Medalhão de Pirata,É uma lembrança de um pirata velho.,A Esposa do Pirata
