,Nome da Missão,Descrição,Ativada ao,Requirimentos,Recompensas
0,Apresentações,Seria um ótimo gesto se apresentar na cidade. Algumas pessoas podem estar ansiosas para conhecer o novo fazendeiro.,Missão introdutória,Ter conhecido 28  pessoas  .,
1,Como ganhar amigos,Dar presentes é uma ótima forma de construir relacionamentos. Aprenda os gostos individuais de cada pessoa e você será popular em pouco tempo.,Completar 'Apresentações',Dê um presente a alguém.,100 ouros
2,Primeiros passos,"Se você quiser trabalhar na fazenda, precisa começar com o básico. Utilize sua enxada para arar o solo. Então, utilize um pacote de sementes no solo arado para plantar. Regue todos os dias até que sua colheita esteja pronta.",Pegar o pacote de sementes no baú da casa.,Plante e colha uma  chirívia  .,100 ouros
3,À praia,Alguém chamado  Willy  convidou você para visitar a praia ao sul da cidade. Ele disse que tem algo a dar para você.,Recebê-la por Correio no dia 2 da  Primavera,Visite a praia ao sul da cidade antes da 17:00.,Vara de Bambu
4,Criando animais,"Robin  , a marceneira local, vive ao norte da cidade. Em troca de matéria bruta e dinheiro, ela construirá novas instalações na sua fazenda. Se quiser criar animais, precisará que ela construa um galinheiro ou estábulo.","Terminar ""Primeiros passos""",Construa um  galinheiro  .,
5,Avanço,"Enquanto você ganha experiência, descobrirá novas receitas de manufatura para aumentar seus lucros e facilitar sua vida. Um espantalho, por exemplo, evitará que corvos ataquem suas preciosas plantações.","Terminar ""Primeiros passos""",Alcance o  nível 1 de Cultivo  e crie um  espantalho  .,100 ouros
6,Explorar a mina,"Há um poço na mina das montanhas, ao norte da cidade. Pode haver materiais valiosos lá dentro, mas o Marlon disse que pode ser perigoso.",Entrar nas minas.,Alcance o nível 5 nas  minas  .,
7,Mais fundo na mina,Parece que o elevador da mina ainda está funcionando. Ele vai permitir que você retorne rapidamente para todas as portas de elevador descobertas. Pode ser necessária uma expedição mais profunda.,Alcançar o nível 5 das  minas  .,Alcance o nível 40 nas  minas  .,
8,Até o fundo?,"Até agora, não há sinal do fundo. Até onde ele vai?",Alcançar o nível 40 das  minas,Alcance o fundo da  mina,
9,Arqueologia,Gunther  perguntou se você poderia doar novos artefatos ou minerais que encontrar ao museu. Ele disse que o compensará ocasionalmente com bens raros.,Entrar no  Museu  com um artefato ou mineral no inventário.,Doe um artefato ou mineral ao museu.,250 ouros
10,"Infestação por ""ratos""",Tem algo estranho acontecendo no Centro Comunitário... Investigue o Centro Comunitário.,Ative a cinemática inicial do  Centro Comunitário  ao entrar na  Vila Pelicanos  pelo  Ponto de Ônibus  entre as 9 da manha e 1 da tarde em um dia ensolarado (A partir do dia 5 da Primavera).,Entre no Centro Comunitário e examine o Pergaminho Dourado na  Sala de Artesanatos  .,"Na manhã seguinte uma carta do  Feiticeiro  chegará no correio, ativando a missão ""Conheça o Feiticeiro""."
11,Encontre o feiticeiro,Você recebeu uma carta do feiticeiro. Ele diz ter informações sobre o antigo centro comunitário.,"Na manhã após você examinar o primeiro pergaminho dourado no  Centro Comunitário  , você recebe uma carta do  Feiticeiro  falando que ele possui informações para você.",Entre na torre do  Feiticeiro  .,O Feiticeiro lhe dará uma poção que lhe permite ler a língua dos  Junimos  .
12,Forja antecipada,"Se você planeja continuar minerando recursos, deve construir uma fornalha.","Amanhecer, após coletar minerais nas  Minas  , Clint irá até sua casa",Construa uma  Fornalha  .,
13,Fusão,"Agora que você construiu uma fornalha, pode fundir um pouco de metal. De acordo com as instruções do  Clint  , se você colocar 5  minérios de cobre  e 1 pedaço de  carvão  na fornalha, ela produzirá uma  barra de cobre  .",Completar 'Forja antecipada'.,Utilize sua  fornalha  para derreter uma  barra de cobre  .,
14,Iniciação,"Se você puder abater 10 gosmas, vai conquistar seu lugar na  Guilda dos Aventureiros  .","Recebê-la por Correio, na manhã seguinte ao alcançar o andar 5 da Mina.",10  gosmas verdes  derrotadas.,Entrada à  Guilda dos Aventureiros
15,Machado perdido da Robin,"Robin  perdeu seu machado favorito. Da última vez que ela lembra tê-lo usado, estava cortando madeira ao sul do rancho da Marnie.",,Encontre o machado perdido da Robin. Pode ser encontrado perto do cano de esgoto.,250 ouros
16,Pedido da Jodi,Jodi  precisa de couve-flor fresca para uma receita. Ela está pedindo por uma couve-flor fresca. (Você pode entregar no seu tempo),,Traga uma  couve-flor  para a Jodi.,350 ouros
17,"""Shorts"" do Prefeito","O  prefeito Lewis  perdeu seus ""shorts"" roxos. Ele está pedindo que você encontre-os e os devolva... Discretamente.","Recebê-la por Correio, no 3º dia do Verão",Encontre e devolva os shorts roxos do prefeito Lewis. Podem se encontrados no  quarto da Marnie  . (Não há penalidades se não entregar os shorts),750 ouros
