,Item,Origem,Preço
0,Cama,Carpintaria,500 ouros
1,Cama,Catálogo de Mobília,0 ouro
2,Cama de Criança,Carpintaria,2 000 ouros
3,Cama de Criança,Catálogo de Mobília,0 ouro
4,Cama de Casal,Carpintaria,2 000 ouros
5,Cama de Casal,Catálogo de Mobília,0 ouro
6,Cama de Casal de Luxo Vermelha,"Carpintaria  Disponível apenas após completar o  Pedido Especial ""  Projeto da Robin  """,6 000 ouros
7,Cama de Casal de Pescador,Peixaria,25 000 ouros
8,Cama de Casal de Bétula,Comerciante do Deserto,Pérola  (1)
9,Cama de Casal de Pirata,Catálogo de Mobília,0 ouro
10,Cama de Casal de Pirata,Penny  (Evento de 14  ),
11,Cama de Casal Estrelada,Catálogo de Mobília,0 ouro
12,Cama de Casal Estrelada,Penny  (Evento de 14  ),
13,Cama de Casal de Morango,Catálogo de Mobília,0 ouro
14,Cama de Casal de Morango,Penny  (Evento de 14  ),
15,Cama de Casal Exótica,Sala de Nozes do Sr. Qi,50
16,Cama de Casal Moderna,Cassino,8 000
17,Cama de Casal Moderna,Catálogo de Mobília,0 ouro
18,Cama Tropical,Comerciante da Ilha,Gengibre  (20)
19,Cama Tropical,Catálogo de Mobília,0 ouro
20,Cama de Casal Tropical,Comerciante da Ilha,Banana  (5)
21,Cama de Casal Tropical,Catálogo de Mobília,0 ouro
22,Cama de Casal Selvagem,Comerciante da Ilha,Fragmento de Brasa  (100)
