,Item,Preço,Preço.1,Preço.2
0,Âncora,750 ouros,,0 ouro
1,Calendário,2 000 ouros,,0 ouro
2,Bandeirinhas,50 ouros,,0 ouro
3,Escudo de Parede,500 ouros,,0 ouro
4,Luz Joja-Cola,500 ouros  (apenas no  Mercado Joja  ),250–2 500 ouros,0 ouro
5,Fotos pequenas,250 ouros,250–2 500 ouros,0 ouro
6,Brasão do Mineiro,1 000 ouros,,0 ouro
7,Decoração de Monstros,1 000 ouros,,0 ouro
8,Poster de crânio,500 ouros,250–2 500 ouros,0 ouro
9,Ursinho Tímido,,250–2 500 ouros,0 ouro
10,Mapa Múndi,500 ouros,,0 ouro
11,Decalque do Céu Noturno,,,
12,Decalque do Céu Noturno #2,,,
13,Decalque do Céu Noturno #3,,,
