,Item,Preço,Preço.1,Preço.2,Preço.3
0,Bandeira de Pirata,,,,
1,Abóbora Pequena de Parede,,,,
2,Decalque de Morangos,,,,
3,Abóbora de Parede,,,,
4,Decalque de Pinheiro,,,,
5,Decalque de Nuvem,,1 200 ouros,,
6,Decalque de Nuvem,,1 200 ouros,,
7,Machado Decorativo,,,1 000 ouros,0 ouro
8,Tridente Decorativo,1 000 ouros,,,0 ouro
9,Bóia,,,,
10,Painel de Troncos,,,500 ouros,0 ouro
11,Painel de Troncos,,,700 ouros,0 ouro
12,Decalque de Pirâmide,,,,
13,Decalque de Nave Espacial,,1 000 ouros,,0 ouro
14,Painel de Madeira,,,500 ouros,0 ouro
