,Item,Como obter
0,Tronco Básico,Carpintaria  por  250 ouros
1,Seção de Tronco,Carpintaria  por  350 ouros  Mercado Noturno  por  200 ouros  (  17 de Inverno  apenas)
2,Fardo de Feno Ornamental,Rancho da Marnie  por  250 ouros
3,Doce Verde Grande,Mercado Noturno  por  200 ouros
4,Doce Vermelho Grande,Mercado Noturno  por  200 ouros
5,Doces Verdes,Mercado Noturno  por  200 ouros
6,Doces Vermelhos,Mercado Noturno  por  200 ouros
7,Doces Misturados,Mercado Noturno  por  200 ouros
8,Flamingo de Jardim,Festival do Ovo  por  400 ouros
9,Coelho de pelúcia,Festival do Ovo  por  2 000 ouros
10,Decoração Sazonal,Dança das Flores  por  350 ouros  Mercado Noturno  por  500 ouros
11,Barril de flores,Dança das Flores  por  250 ouros  Artesanato  (receita para comprar na  Dança das Flores  por  1 000 ouros  )
12,Conjunto de chá,Presente no  Festival da Estrela Invernal
13,Bloco de bateria,Artesanato  (receita recebida da  Robin  no seu evento de 6  )  Recompensa do  Museu  (  Tambor antigo  )
14,Bloco de flauta,Artesanato  (receita recebida da  Robin  no seu evento de 6  )  Recompensa do  Museu  (  Flauta de ossos  )
15,Máquina de Café,"Pedido Especial ""  Presentes para o George  """
16,Computador da Fazenda,"Artesanato  (receita recebida após concluir os Pedidos Especiais ""  Superpopulação Aquática  ""  ou ""  Equilíbrio do Bioma  "")"
17,Mini-Jukebox,Gus  (Evento de 5  )  Artesanato  (receita recebida do  Gus  no seu evento de 5  )
18,Telefone,Carpintaria  por  2 000 ouros
19,Máquina de Costura,"Pedido Especial ""  Rejuvenescimento por Pedras  """
