,Item,Como obter
0,Coelho Futan,Jogo do Guindaste no  Cinema
1,Pequena Pelúcia de Junimo,Jogo do Guindaste no  Cinema
2,Estátua de Serpente Verde,Jogo do Guindaste no  Cinema
3,Estátua de Serpente Roxa,Jogo do Guindaste no  Cinema
4,Estátua de Bobo,Jogo do Guindaste no  Cinema
5,Estátua de Wumbus,Jogo do Guindaste no  Cinema
6,Pelúcia Junimo,Encontrado em uma localização  secreta  .
7,Estátua do Gourmand,Pesca  na  Caverna do Pirata
8,Krobus de Irídio,Pesca  no ponto mais ao sul da  Floresta Cinzaseiva
9,Estátua de Esquilo,Pesca  na seção mais ao norte do rio na  Ilha Gengibre
