,0,1,2,3,4,5
0,"Item  Preço  Preço  Preço  Preço  Preço  ""Uma Noite em Ecolina""  N/A  N/A  N/A  N/A  N/A  ""Colinas de Jade""  N/A  N/A  N/A  N/A  N/A  ""Colinas de Jade Extendidas""  N/A  N/A  N/A  N/A  5 000 ouros  ""Oferta Queimada""  N/A  4 000  N/A  N/A  N/A  ""Rodovia 89""  N/A  4 000  250–2 500 ouros  N/A  N/A  ""Movimento Primordial""  N/A  5 000  250–2 500 ouros  N/A  N/A  ""Pináculos""  800 ouros  3 000  250–2 500 ouros  N/A  N/A  ""Rainha do Mar de Joias""  N/A  N/A  250–2 500 ouros  N/A  N/A  ""Caminhos""  N/A  N/A  250–2 500 ouros  N/A  N/A  ""O Muzamaro""  N/A  N/A  250–2 500 ouros  N/A  N/A  ""Vila de Baunilha""  N/A  N/A  250–2 500 ouros  N/A  N/A  ""Paraíso VGA""  N/A  N/A  250–2 500 ouros  N/A  N/A  ""Sonhos Congelados""  N/A  N/A  N/A  2 000 ouros  N/A  ""Barco""  N/A  N/A  N/A  N/A  N/A  Pintura de Vegetação  N/A  N/A  N/A  N/A  N/A  ""Básicos da Física""  N/A  N/A  N/A  N/A  N/A  ""Mestrepipa 95""  N/A  N/A  250–2 500 ouros  N/A  N/A  ""Sol nº 44""  N/A  N/A  250–2 500 ouros  N/A  N/A  Cataratas de Calico  750 ouros  N/A  250–2 500 ouros  N/A  N/A  ""Sol nº 45""  350 ouros  N/A  250–2 500 ouros  N/A  N/A  ""Cidade Azul""  250 ouros  N/A  250–2 500 ouros  N/A  N/A  ""Mirtilos""  250 ouros  N/A  250–2 500 ouros  N/A  N/A  ""Arvorezinha""  350 ouros  N/A  250–2 500 ouros  N/A  N/A  Flor bordada  500 ouros  N/A  250–2 500 ouros  N/A  N/A  ""Grama dançante""  400 ouros  N/A  250–2 500 ouros  N/A  N/A  Minha Primeira Pintura  N/A  N/A  N/A  N/A  N/A  Pinturas Coloridas  500 ouros  N/A  N/A  500 ouros  N/A  ""Paisagem""  N/A  N/A  N/A  N/A  N/A  Foto do Vulcão  N/A  N/A  N/A  Manga  (5)  N/A",,,,,
1,Item,Preço,Preço,Preço,Preço,Preço
2,"""Uma Noite em Ecolina""",,,,,
3,"""Colinas de Jade""",,,,,
4,"""Colinas de Jade Extendidas""",,,,,5 000 ouros
5,"""Oferta Queimada""",,4 000,,,
6,"""Rodovia 89""",,4 000,250–2 500 ouros,,
7,"""Movimento Primordial""",,5 000,250–2 500 ouros,,
8,"""Pináculos""",800 ouros,3 000,250–2 500 ouros,,
9,"""Rainha do Mar de Joias""",,,250–2 500 ouros,,
10,"""Caminhos""",,,250–2 500 ouros,,
11,"""O Muzamaro""",,,250–2 500 ouros,,
12,"""Vila de Baunilha""",,,250–2 500 ouros,,
13,"""Paraíso VGA""",,,250–2 500 ouros,,
14,"""Sonhos Congelados""",,,,2 000 ouros,
15,"""Barco""",,,,,
16,Pintura de Vegetação,,,,,
17,"""Básicos da Física""",,,,,
18,"""Mestrepipa 95""",,,250–2 500 ouros,,
19,"""Sol nº 44""",,,250–2 500 ouros,,
20,Cataratas de Calico,750 ouros,,250–2 500 ouros,,
21,"""Sol nº 45""",350 ouros,,250–2 500 ouros,,
22,"""Cidade Azul""",250 ouros,,250–2 500 ouros,,
23,"""Mirtilos""",250 ouros,,250–2 500 ouros,,
24,"""Arvorezinha""",350 ouros,,250–2 500 ouros,,
25,Flor bordada,500 ouros,,250–2 500 ouros,,
26,"""Grama dançante""",400 ouros,,250–2 500 ouros,,
27,Minha Primeira Pintura,,,,,
28,Pinturas Coloridas,500 ouros,,,500 ouros,
29,"""Paisagem""",,,,,
30,Foto do Vulcão,,,,Manga  (5),
