,Item,Origem,Preço
0,Pisca-Pisca,Carpintaria,400 ouros
1,Decalque de Folhas,Carpintaria,400 ouros
2,Decalque de Folhas,Luau,400 ouros
3,Decalque de selva,Luau,800 ouros
4,Decalque de Cacto,Oásis,700 ouros
5,Decalque de Flor Pequeno,Dança das Flores,800 ouros
6,Decalque de Flor,Dança das Flores,800 ouros
7,Decalque de Palmeira,Luau,1 000 ouros
8,Ornamento de Palmeira,Comerciante da Ilha,Abacaxi  (1)
9,Cesta Pendurada,Jogo do Guindaste no  Cinema,
10,Cesta de Parede,Pesca  no lago do  Bosque Secreto,
