,Imagem,Nome,Descrição,Preço,Chance de captura,Chance de captura,Usado em
,Imagem,Nome,Descrição,Preço,Marinheiro,Não-marinheiro,Usado em
0,,Lagosta,Um crustáceo grande que vive no oceano. Possui uma grande cauda.,120 ouros,1/7,3.4%,Bisque de lagosta  Receitas de qualquer peixe  Conjunto Covo
1,,120 ouros,,,,,
2,,Concha,Alguém já viveu aqui.,50 ouros  62 ouros  75 ouros  100 ouros,1/7,12%,Sopa de peixe  Solo Foliar  Conjunto Covo
3,,50 ouros,,,,,
4,,62 ouros,,,,,
5,,75 ouros,,,,,
6,,100 ouros,,,,,
7,,Caranguejo,Um crustáceo marinho com duas puãs poderosas.,100 ouros,1/7,6.46%,Bolinhos de caranguejo  Receitas de qualquer peixe  Conjunto Covo
8,,100 ouros,,,,,
9,,Berbigão,Uma concha de água salgada muito comum.,50 ouros  62 ouros  75 ouros  100 ouros,1/7,17.442%,Receitas de qualquer peixe  Conjunto Covo
10,,50 ouros,,,,,
11,,62 ouros,,,,,
12,,75 ouros,,,,,
13,,100 ouros,,,,,
14,,Mexilhão,Um bivalve muito comum que geralmente vive em grupo.,30 ouros  37 ouros  45 ouros  60 ouros,1/7,14.2443%,Guisado de peixe  Receitas de qualquer peixe  Conjunto Covo
15,,30 ouros,,,,,
16,,37 ouros,,,,,
17,,45 ouros,,,,,
18,,60 ouros,,,,,
19,,Camarão,Um necrófago que se alimenta do fundo do oceano. Sua carne é muito apreciada.,60 ouros,1/7,5.2907%,Sopa Tom Kha  Receitas de qualquer peixe  Conjunto Covo
20,,60 ouros,,,,,
21,,Ostra,"Filtra água constantemente para se alimentar. Durante o processo, remove toxinas perigosas para o meio ambiente.",40 ouros  50 ouros  60 ouros  80 ouros,1/7,3.1744%,Receitas de qualquer peixe  Conjunto Covo
22,,40 ouros,,,,,
23,,50 ouros,,,,,
24,,60 ouros,,,,,
25,,80 ouros,,,,,
26,,Lagostim,Um pequeno peixe de água doce parente da lagosta.,75 ouros,1/3,28%,Guisado de peixe  Receitas de qualquer peixe  Conjunto Covo
27,,75 ouros,,,,,
28,,Lesma,Um molusco amplo muito comum que vive numa casca em espiral.,65 ouros,1/3,13%,Escargô  Receitas de qualquer peixe  Conjunto Covo
29,,65 ouros,,,,,
30,,Caramujo,Um molusco de água doce que vive em um casco azul.,20 ouros,1/3,21.45%,Pão estranho  Guisado de peixe  Receitas de qualquer peixe  Conjunto Covo
31,,20 ouros,,,,,
