,Peixe,Peixe.1,Sem Profissão,Profissão Pescador,Profissão Mestre pescador
0,,Anchova,Sempre,Sempre,Sempre
1,,Brema,Sempre,Regular ou prata,Regular
2,,Carpa,Sempre,Sempre,Sempre
3,,Esquálio,Regular ou prata,Regular,Nunca
4,,Berbigão,Regular ou prata,Regular,Nunca
5,,Peixe-fantasma,Sempre,Regular ou prata,Regular
6,,Arenque,Sempre,Sempre,Sempre
7,,Mexilhão,Sempre,"Regular, prata, ouro","Regular, prata, ouro"
8,,Ostra,"Regular, prata, ouro",Regular ou prata,Regular
9,,Perca,Regular ou prata,Regular,Nunca
10,,Caramujo,Sempre,Sempre,Sempre
11,,Truta arco-íris,Regular,Nunca,Nunca
12,,Cioba,Regular ou prata,Regular,Nunca
13,,Sardinha,Sempre*,Regular ou prata*,Regular*
14,,Alocine,Regular,Nunca,Nunca
15,,Camarão,Regular,Nunca,Nunca
16,,Achigã-pequeno,Regular ou prata,Regular,Nunca
17,,Lesma,Regular,Nunca,Nunca
18,,Peixe-sol,Sempre,Sempre,Sempre
