,Imagem,Nome,Descrição,Preço,Profissão Pescador (+25%),Profissão Mestre Pescador (+50%),Localização,Hora,Estação,Clima,Tamanho (cm),Dificuldade e Comportamento,Base XPg,Usado em,Unnamed: 14
0,,Baiacu,Infla quando ameaçado.,200 ouros  250 ouros  300 ouros  400 ouros,250 ouros  312 ouros  375 ouros  500 ouros,300 ouros  375 ouros  450 ouros  600 ouros,Oceano,12:00 - 16:00,Verão,Sol,3-94,80 flutuante,29.0,"Conjunto Peixes Especializados  Abigail  (presente amado)  Missão ""Pesquisa Aquática""",
1,,200 ouros,,,,,,,,,,,,,
2,,250 ouros,,,,,,,,,,,,,
3,,300 ouros,,,,,,,,,,,,,
4,,400 ouros,,,,,,,,,,,,,
5,,250 ouros,,,,,,,,,,,,,
6,,312 ouros,,,,,,,,,,,,,
7,,375 ouros,,,,,,,,,,,,,
8,,500 ouros,,,,,,,,,,,,,
9,,300 ouros,,,,,,,,,,,,,
10,,375 ouros,,,,,,,,,,,,,
11,,450 ouros,,,,,,,,,,,,,
12,,600 ouros,,,,,,,,,,,,,
13,,Anchova,Um pequeno peixe prateado encontrado no oceano.,30 ouros  37 ouros  45 ouros  60 ouros,37 ouros  46 ouros  56 ouros  75 ouros,45 ouros  55 ouros  67 ouros  90 ouros,Oceano,Qualquer hora,Primavera  Outono,Qualquer,3-43,30 dardo,13.0,,
14,,30 ouros,,,,,,,,,,,,,
15,,37 ouros,,,,,,,,,,,,,
16,,45 ouros,,,,,,,,,,,,,
17,,60 ouros,,,,,,,,,,,,,
18,,37 ouros,,,,,,,,,,,,,
19,,46 ouros,,,,,,,,,,,,,
20,,56 ouros,,,,,,,,,,,,,
21,,75 ouros,,,,,,,,,,,,,
22,,45 ouros,,,,,,,,,,,,,
23,,55 ouros,,,,,,,,,,,,,
24,,67 ouros,,,,,,,,,,,,,
25,,90 ouros,,,,,,,,,,,,,
26,,Atum,Um grande peixe que vive no oceano.,100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Oceano,6:00 - 19:00,Verão  Inverno,Qualquer,30-155,70 suave,26.0,Conjunto Peixes de Oceano  Taco de peixe,
27,,100 ouros,,,,,,,,,,,,,
28,,125 ouros,,,,,,,,,,,,,
29,,150 ouros,,,,,,,,,,,,,
30,,200 ouros,,,,,,,,,,,,,
