,Item,Número no Baú,Nível de pesca necessário,Outros requisitos
0,Baú do tesouro,1,2+,
1,Minério de irídio,1-2,,Deve lançar à distância máxima
2,Minério de ouro,1-24,,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima
3,Minério de ferro,1-24,,
4,Minério de cobre,1-24,,
5,Madeira,1-24,,
6,Pedra,1-24,,
7,Carvão,1-24,,
8,Isca artificial,1,6+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima
9,Isca,1-15,,
10,Livro Perdido,1,,Somente se você já encontrou 1 ou mais livros perdidos e se a coleção de livros do  Museu  não estiver completa
11,Esqueleto de cauda,1,2+,Somente se você já encontrou 1 ou mais artefatos
12,Fóssil de náutilo,1,2+,Somente se você já encontrou 1 ou mais artefatos
13,Fóssil de anfíbio,1-2,2+,Somente se você já encontrou 1 ou mais artefatos
14,Boneco antigo,1,2+,Somente se você já encontrou 1 ou mais artefatos
15,Joias Élficas,1,2+,Somente se você já encontrou 1 ou mais artefatos
16,Palha para mastigar,1,2+,Somente se você já encontrou 1 ou mais artefatos
17,Leque ornamental,1,2+,Somente se você já encontrou 1 ou mais artefatos
18,Ovo de dinossauro,1,2+,Somente se você já encontrou 1 ou mais artefatos
19,Disco raro,1,2+,
20,Espada antiga,1,2+,Somente se você já encontrou 1 ou mais artefatos
21,Colher enferrujada,1,2+,Somente se você já encontrou 1 ou mais artefatos
22,Esporão enferrujado,1,2+,Somente se você já encontrou 1 ou mais artefatos
23,Engrenagem velha,1,2+,Somente se você já encontrou 1 ou mais artefatos
24,Estátua de galinha,1,2+,Somente se você já encontrou 1 ou mais artefatos
25,Semente antiga,1,2+,Somente se você já encontrou 1 ou mais artefatos
26,Ferramenta pré-histórica,1,2+,Somente se você já encontrou 1 ou mais artefatos
27,Estrela-do-mar ressecada,1,2+,Somente se você já encontrou 1 ou mais artefatos
28,Âncora,1,2+,Somente se você já encontrou 1 ou mais artefatos
29,Cacos de vidro,1,2+,Somente se você já encontrou 1 ou mais artefatos
30,Flauta de ossos,1,2+,Somente se você já encontrou 1 ou mais artefatos
31,Boneco estranho,1,2+,
32,Boneco estranho,1,2+,
33,Geodo,1-6,,
34,Geodo congelado,1-6,,
35,Geodo de magma,1-6,,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima
36,Quartzo de fogo,1-4,2+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima
37,Rubi,1-4,2+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima
38,Esmeralda,1-4,2+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima
39,Lágrima congelada,1-4,2+,
40,Jade,1-4,2+,
41,Água-marinha,1-4,2+,
42,Cristal de terra,1-4,2+,
43,Ametista,1-4,2+,
44,Topázio,1-4,2+,
45,Diamante,1-2,2+,
46,Fragmento prismático,1,6+,
47,Sementes mistas,1-3,,
48,Gládio de Netuno,1,2+,
49,Tridente quebrado,1,2+,
50,Anel de brilho pequeno,1,2+,
51,Pequeno anel com ímã,1,2+,
52,Anel de ametista,1,2+,
53,Anel de topázio,1,2+,
54,Anel de água-marinha,1,2+,
55,Anel de jade,1,2+,
56,Anel de esmeralda,1,2+,
57,Anel de rubi,1,2+,
58,Anel de irídio,1,2+,
59,Tênis,1 pair,2+,
60,Botas de borracha,1 pair,2+,
61,Botas de couro,1 pair,2+,
62,Botas de trabalho,1 pair,2+,
63,Botas de combate,1 pair,2+,
64,Botas de tundra,1 pair,2+,
65,Botas térmicas,1 pair,2+,
66,Botas negras,1 pair,2+,
67,Botas de Salamandra,1 pair,2+,
68,Sapatos de gênio,1 pair,2+,
