,Monstro,Experiência
0,Gosma verde,3
1,Espírito da poeira,2
2,Morcego,3
3,Morcego congelado,7
4,Morcego de lava,15
5,Morcego de irídio,22
6,Golem de pedra,5
7,Golem selvagem,5
8,Larva,2
9,Mosca da caverna,10
10,Gosma azul,6
11,Qualquer gosma que não seja verde ou azul,10
12,Fantasma,15
13,Cavador,10
14,Caranguejo-pedra,4
15,Caranguejo-lava,12
16,Caranguejo de Irídio,20
17,Face,15
18,Bruto das sombras,15
19,Xamã das sombras,15
20,Esqueleto,8
21,Cabeça de metal,6
22,Inseto,1
23,Múmia,20
24,Gosma grande,7
25,Serpente,20
26,Larva mutante,6
27,Mosca mutante,10
28,Pimenta Rex,7
29,Caveira Assombrada,15
