,Tipo de Rocha,Experiências
0,Qualquer Rocha (Lado de fora das  minas  ),1  Se cair carvão: 5
1,Pedra grande  cinza (Lado de fora das  minas  ),0
2,Rochas (dentro das  minas  ),0
3,Qualquer dessas rochas cinzentas escuras (dentro das  minas  ),3  Se cair carvão: 4
4,Nó de  Ametista,Profissão Geólogo: 8  Profissão Minerador: 16
5,Nó de  Água-marinha,Profissão Geólogo: 20  Profissão Minerador: 40
6,Nó de  Diamante,Profissão Geólogo: 100  Profissão Minerador: 150
7,Nó de  Esmeralda,Profissão Geólogo: 50  Profissão Minerador: 80
8,Nó de  Jade,Profissão Geólogo: 20  Profissão Minerador: 40
9,Nó de  Rubi,Profissão Geólogo: 50  Profissão Minerador: 80
10,Nó de  Topázio,Profissão Geólogo: 8  Profissão Minerador: 16
11,Nó de Gemas,3
12,Pedra Mística,50
13,Nó de Cobre,5
14,Nó de Ferro,12
15,Nó de Ouro,18
16,Nó de Irídio,50
17,Nó de  Geodo,8
18,Nó de  Geodo congelado,16
19,Nó de  Geodo de magma,32
