,Nome,Custo,Requisitos,Produz_item,Produz_valor,Venda_5_coracoes,Rendimento de venda,Rendimento de produção
0,Avestruz,,Celeiro e  Incubadora de Avestruzes,Ovo de avestruz,600.0,20800.0,,
1,Cabra,4000.0,Celeiro Grande,Leite de cabra,225.0,5200.0,1.3,17.77777777777778
2,Cabra,4000.0,Celeiro Grande,Leite grande de cabra,345.0,5200.0,1.3,11.594202898550725
3,Coelho,8000.0,Galinheiro de Luxo,Lã,340.0,10400.0,1.3,23.529411764705884
4,Coelho,8000.0,Galinheiro de Luxo,Pé de coelho,565.0,10400.0,1.3,14.15929203539823
5,Dinossauro,,Galinheiro Grande,Ovo de dinossauro,350.0,1300.0,,
6,Galinha Branca,800.0,,Ovo,50.0,1040.0,1.3,16.0
7,Galinha Branca,800.0,,Ovo grande,95.0,1040.0,1.3,8.421052631578947
8,Galinha Marrom,800.0,,Ovo marrom,50.0,1040.0,1.3,16.0
9,Galinha Marrom,800.0,,Ovo marrom grande,95.0,1040.0,1.3,8.421052631578947
10,Galinha Azul,800.0,,Ovo,50.0,1040.0,1.3,16.0
11,Galinha Azul,800.0,,Ovo grande,95.0,1040.0,1.3,8.421052631578947
12,Galinha nula,,,Ovo nulo,65.0,1040.0,,
13,Galinha Dourada,,,Ovo dourado,500.0,1040.0,,
14,Ovelha,8000.0,Celeiro de Luxo,Lã,340.0,10400.0,1.3,23.529411764705884
15,Pato,1200.0,Galinheiro Grande,Ovo de pata,95.0,1560.0,1.3,12.631578947368421
16,Pato,1200.0,Galinheiro Grande,Pena de pato,250.0,1560.0,1.3,4.8
17,Porco,16000.0,Celeiro de Luxo,Trufa,625.0,20800.0,1.3,25.6
18,Vaca,1500.0,,Leite,125.0,1950.0,1.3,12.0
19,Vaca,1500.0,,Leite grande,190.0,1950.0,1.3,7.894736842105263
20,Vaca marrom,1500.0,,Leite,125.0,1950.0,1.3,12.0
21,Vaca marrom,1500.0,,Leite grande,190.0,1950.0,1.3,7.894736842105263
